prop,count,
http://www.wikidata.org/P1705,62,
http://www.wikidata.org/P1705,62,
http://www.wikidata.org/P762,60,
http://www.wikidata.org/P762,60,
http://www.wikidata.org/P6004,59,
http://www.wikidata.org/P6004,59,
http://www.wikidata.org/P1679,58,
http://www.wikidata.org/P1679,58,
http://www.wikidata.org/P347,54,
http://www.wikidata.org/P347,54,
http://www.wikidata.org/P9942,54,
http://www.wikidata.org/P9942,54,
http://www.wikidata.org/P84,53,
http://www.wikidata.org/P84,53,
http://www.wikidata.org/P577,52,
http://www.wikidata.org/P577,52,
http://www.wikidata.org/P2539,49,
http://www.wikidata.org/P2539,49,
http://www.wikidata.org/P1889,48,
http://www.wikidata.org/P1889,48,
http://www.wikidata.org/P1196,48,
http://www.wikidata.org/P1196,48,
http://www.wikidata.org/P511,41,
http://www.wikidata.org/P511,41,
http://www.wikidata.org/P8917,39,
http://www.wikidata.org/P8917,39,
http://www.wikidata.org/P935,37,
http://www.wikidata.org/P910,37,
http://www.wikidata.org/P910,37,
http://www.wikidata.org/P935,37,
http://www.wikidata.org-normalized/P350,37,
http://www.wikidata.org/P350,37,
http://www.wikidata.org/P350,37,
http://www.wikidata.org/P10187,35,
http://www.wikidata.org/P10187,35,
http://www.wikidata.org/P138,35,
http://www.wikidata.org/P138,35,
http://www.wikidata.org/P2581,34,
http://www.wikidata.org-normalized/P2581,34,
http://www.wikidata.org/P2581,34,
http://www.wikidata.org/P179,34,
http://www.wikidata.org/P179,34,
http://www.wikidata.org/P25,33,
http://www.wikidata.org/P25,33,
http://www.wikidata.org/P5383,32,
http://www.wikidata.org/P5383,32,
http://www.wikidata.org/P279,32,
http://www.wikidata.org/P279,32,
http://www.wikidata.org/P407,31,
http://www.wikidata.org/P407,31,
http://www.wikidata.org/P451,31,
http://www.wikidata.org/P451,31,
http://www.wikidata.org/P509,31,
http://www.wikidata.org/P509,31,
http://www.wikidata.org/P214,30,
http://www.wikidata.org-normalized/P214,30,
http://www.wikidata.org/P214,30,
http://www.wikidata.org/P7420,27,
http://www.wikidata.org/P7420,27,
http://www.wikidata.org/P4219,27,
http://www.wikidata.org/P4219,27,
http://www.wikidata.org/P5800,26,
http://www.wikidata.org/P5800,26,
http://www.wikidata.org/P7959,26,
http://www.wikidata.org/P7959,26,
http://www.wikidata.org/P22,26,
http://www.wikidata.org/P22,26,
http://www.wikidata.org/P1216,26,
http://www.wikidata.org/P8639,25,
http://www.wikidata.org/P8639,25,
http://www.wikidata.org/P9092,24,
http://www.wikidata.org/P9092,24,
http://www.wikidata.org/P2093,24,
http://www.wikidata.org/P2093,24,
http://www.wikidata.org/P1216,24,
http://www.wikidata.org/P4627,23,
http://www.wikidata.org/P4627,23,
http://www.wikidata.org/P3711,23,
http://www.wikidata.org/P3711,23,
http://www.wikidata.org/P88,23,
http://www.wikidata.org/P88,23,
http://www.wikidata.org/P7984,23,
http://www.wikidata.org/P7984,23,
http://www.wikidata.org/P735,22,
http://www.wikidata.org/P735,22,
http://www.wikidata.org/P5008,22,
http://www.wikidata.org/P5008,22,
http://www.wikidata.org/P2561,22,
http://www.wikidata.org/P2561,22,
http://www.wikidata.org/P613,22,
http://www.wikidata.org/P613,22,
