item,itemLabel,oeblxml,GND
http://www.wikidata.org/entity/Q84774,Gustav von Escherich,E/Escherich_Gustav_1849_1935,116569352
http://www.wikidata.org/entity/Q84832,Michael Haberlandt,H/Haberlandt_Michael_1860_1940,116350725
http://www.wikidata.org/entity/Q84876,Franz Chvostek senior,C/Chvostek_Franz_1835_1884,133623033
http://www.wikidata.org/entity/Q84932,Guido Holzknecht,H/Holzknecht_Guido_1872_1931,116973854
http://www.wikidata.org/entity/Q84994,Theodor von Frimmel,F/Frimmel-Traisenau_Theodor_1853_1928,101069456
http://www.wikidata.org/entity/Q84996,Karl Heider,H/Heider_Karl_1856_1935,116605197
http://www.wikidata.org/entity/Q85144,Albert Ehrhard,E/Ehrhard_Albert-Josef-Maria_1862_1940,118529315
http://www.wikidata.org/entity/Q85204,Artur Berger,B/Berger_Artur_1892_1981,1056822317
http://www.wikidata.org/entity/Q85219,Friedrich Moritz Brauer,B/Brauer_Friedrich-Moritz_1832_1904,13173282X
http://www.wikidata.org/entity/Q85237,Kasimir Graff,G/Graff_Kasimir-Romuald_1878_1950,11681568X
http://www.wikidata.org/entity/Q85526,Julius Wilhelm Gintl,G/Gintl_Wilhelm-Julius_1804_1883,116633670
http://www.wikidata.org/entity/Q85584,Richard Buchta,B/Buchta_Richard_1845_1894,116826959
http://www.wikidata.org/entity/Q85826,Ignaz Czapka,C/Czapka-Winstetten_Ignaz_1791_1881,13959597X
http://www.wikidata.org/entity/Q86296,Jakob Degen,D/Degen_Jakob_1756_1848,119463180
http://www.wikidata.org/entity/Q86345,Johann Florian Heller,H/Heller_Johann-Florian_1813_1871,116686529
http://www.wikidata.org/entity/Q86525,Helene von Druskowitz,D/Druskowitz_Helene_1856_1918,120560216
http://www.wikidata.org/entity/Q86937,Rudolf Kraus,K/Kraus_Rudolf_1868_1932,13272801X
http://www.wikidata.org/entity/Q86983,Johann Nepomuk Berger,B/Berger_Johann-Nepomuk_1816_1870,116131640
http://www.wikidata.org/entity/Q87026,Anton von Jaksch,J/Jaksch-Wartenhorst_Anton_1810_1887,117610909
http://www.wikidata.org/entity/Q87049,Theodor Kohn,K/Kohn_Theodor_1845_1915,119537109
http://www.wikidata.org/entity/Q87173,Heinrich Friedjung,F/Friedjung_Heinrich_1851_1920,119480700
http://www.wikidata.org/entity/Q87177,Friedrich Jäger von Jaxtthal,J/Jaeger-Jaxthal_Friedrich_1784_1871,118868268
http://www.wikidata.org/entity/Q87425,Friedrich Katzer,K/Katzer_Friedrich_1861_1925,116187085
http://www.wikidata.org/entity/Q87687,Hermann Ignaz Bidermann,B/Biedermann_Hermann-Ignaz_1831_1892,116162228
http://www.wikidata.org/entity/Q87737,Leopold Gegenbauer,G/Gegenbauer_Leopold_1849_1903,117530468
http://www.wikidata.org/entity/Q87887,Bernhard von Eskeles,E/Eskeles_Bernhard_1753_1839,116539216
http://www.wikidata.org/entity/Q87953,Bruno Granichstaedten,G/Granichstaedten_Bruno_1879_1944,133464490
http://www.wikidata.org/entity/Q88044,Oskar Jellinek,J/Jellinek_Oskar_1886_1949,118776118
http://www.wikidata.org/entity/Q88353,Karl Ludwig von Grünne,G/Gruenne_Karl_1808_1884,116892838
http://www.wikidata.org/entity/Q88737,Emanuel von Friedrichsthal,F/Friedrichsthal_Emanuel_1809_1842,117537942
http://www.wikidata.org/entity/Q88839,Berta Karlik,K/Karlik_Berta-Emilie_1904_1990,134087283
http://www.wikidata.org/entity/Q88925,Carl von Hock,H/Hock_Carl_1808_1869,100356877
http://www.wikidata.org/entity/Q89400,Spiridon Gopčević,G/Gopcevic_Spiridon_1855_1909,11677357X
http://www.wikidata.org/entity/Q89546,Joseph von Hammer-Purgstall,H/Hammer-Purgstall_Joseph_1774_1856,118545426
http://www.wikidata.org/entity/Q89648,Max von Gomperz,G/Gomperz_Max_1822_1913,140267344
