person_id,creator,contributor,date,cdate,medium,extent,currentLocation,dcidentifier,providerproxy,providedcho,ml,mf,aggregation,dp,rights,title,coverage,creation,description,relation,subjectI,subjectII,subjectII,type,language,
12347,Tina Blau,,,1871,Bleistift,"Blatt: 24 cm x 16,1 cm",,24008/1v-2r,http://data.europeana.eu/proxy/provider/15508/24008_1v_2r,http://data.europeana.eu/item/15508/24008_1v_2r,,,http://data.europeana.eu/aggregation/provider/15508/24008_1v_2r,Albertina,http://www.europeana.eu/rights/rr-f/,"Verschiedene Skizzen, Ramsau, 1871",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=24008/1v-2r,,,,Zeichnung,,
12347,Tina Blau,,,1871,"Bleistift; blaue, gelbe und braune Kreide","Blatt: 16,1 cm x 24 cm",,24008/20v-21r,http://data.europeana.eu/proxy/provider/15508/24008_20v_21r,http://data.europeana.eu/item/15508/24008_20v_21r,,,http://data.europeana.eu/aggregation/provider/15508/24008_20v_21r,Albertina,http://www.europeana.eu/rights/rr-f/,Verschiedene Skizzen,,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=24008/20v-21r,,,,Zeichnung,,
12347,Tina Blau,,,1871,Bleistift,"Blatt: 16,1 cm x 12 cm",,24008/21v,http://data.europeana.eu/proxy/provider/15508/24008_21v,http://data.europeana.eu/item/15508/24008_21v,,,http://data.europeana.eu/aggregation/provider/15508/24008_21v,Albertina,http://www.europeana.eu/rights/rr-f/,Verschiedene Skizzen,,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=24008/21v,,,,Zeichnung,,
12347,Tina Blau,,,1871,Bleistift,"Blatt: 12 cm x 16,1 cm",,24008/22,http://data.europeana.eu/proxy/provider/15508/24008_22,http://data.europeana.eu/item/15508/24008_22,,,http://data.europeana.eu/aggregation/provider/15508/24008_22,Albertina,http://www.europeana.eu/rights/rr-f/,Verschiedene Skizzen,,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=24008/22,,,,Zeichnung,,
12347,Tina Blau,,,1871,"Bleistift; Deckweiß; blaue, gelbe und braune Kreide","Blatt: 16,1 cm x 24 cm",,24008/23v-24r,http://data.europeana.eu/proxy/provider/15508/24008_23v_24r,http://data.europeana.eu/item/15508/24008_23v_24r,,,http://data.europeana.eu/aggregation/provider/15508/24008_23v_24r,Albertina,http://www.europeana.eu/rights/rr-f/,Verschiedene Skizzen,,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=24008/23v-24r,,,,Zeichnung,,
12347,Tina Blau,,,1871,Bleistift,"Blatt: 12 cm x 16,1 cm",,24008/24v,http://data.europeana.eu/proxy/provider/15508/24008_24v,http://data.europeana.eu/item/15508/24008_24v,,,http://data.europeana.eu/aggregation/provider/15508/24008_24v,Albertina,http://www.europeana.eu/rights/rr-f/,Verschiedene Skizzen,,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=24008/24v,,,,Zeichnung,,
12347,Tina Blau,,,1871,Bleistift,"Blatt: 12 cm x 16,1 cm",,24008/25r,http://data.europeana.eu/proxy/provider/15508/24008_25r,http://data.europeana.eu/item/15508/24008_25r,,,http://data.europeana.eu/aggregation/provider/15508/24008_25r,Albertina,http://www.europeana.eu/rights/rr-f/,Verschiedene Skizzen,,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=24008/25r,,,,Zeichnung,,
12347,Tina Blau,,,1871,Bleistift,"Blatt: 12 cm x 16,1 cm",,24008/25v,http://data.europeana.eu/proxy/provider/15508/24008_25v,http://data.europeana.eu/item/15508/24008_25v,,,http://data.europeana.eu/aggregation/provider/15508/24008_25v,Albertina,http://www.europeana.eu/rights/rr-f/,Verschiedene Skizzen,,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=24008/25v,,,,Zeichnung,,
12347,Tina Blau,,,1871,Bleistift,"Blatt: 12 cm x 16,1 cm",,24008/26r,http://data.europeana.eu/proxy/provider/15508/24008_26r,http://data.europeana.eu/item/15508/24008_26r,,,http://data.europeana.eu/aggregation/provider/15508/24008_26r,Albertina,http://www.europeana.eu/rights/rr-f/,Verschiedene Skizzen,,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=24008/26r,,,,Zeichnung,,
12347,Tina Blau,,,1871,Bleistift,"Blatt: 12 cm x 16,1 cm",,24008/26v,http://data.europeana.eu/proxy/provider/15508/24008_26v,http://data.europeana.eu/item/15508/24008_26v,,,http://data.europeana.eu/aggregation/provider/15508/24008_26v,Albertina,http://www.europeana.eu/rights/rr-f/,Verschiedene Skizzen,,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=24008/26v,,,,Zeichnung,,
