i,item,itemLabel,oeblid,apis_id
0,http://www.wikidata.org/entity/Q5454,Isabella Albrizzi-Teotochi,A/Albrizzi-Teotochi_Isabella_1763_1836,
1,http://www.wikidata.org/entity/Q15944,Walter Breisky,B/Breisky_Walter_1871_1944,88034.0
2,http://www.wikidata.org/entity/Q15803,Simon Jenko,J/Jenko_Simon_1835_1869,74483.0
3,http://www.wikidata.org/entity/Q16824,Carl Junker,J/Junker_Karl_1867_1928,
4,http://www.wikidata.org/entity/Q44032,Egon Schiele,S/Schiele_Egon_1890_1918,41572.0
5,http://www.wikidata.org/entity/Q43815,Josef Struber,S/Struber_Joseph_1773_1845,29699.0
6,http://www.wikidata.org/entity/Q60657,Albert Kasimir von Sachsen-Teschen,A/Albrecht_Kasimir_1738_1822,90323.0
7,http://www.wikidata.org/entity/Q44972,Peter Altenberg,E/Englaender_Richard_1859_1919,84679.0
8,http://www.wikidata.org/entity/Q44274,Jörg Haider,H/Haider_Joerg_1950_2008,
9,http://www.wikidata.org/entity/Q58586,Edmund Husserl,H/Husserl_Edmund_1859_1938,75584.0
10,http://www.wikidata.org/entity/Q44927,Joseph Lanner,L/Lanner_Joseph_1801_1843,65257.0
11,http://www.wikidata.org/entity/Q44911,Joseph Maria Olbrich,O/Olbrich_Josef-Maria_1867_1908,53354.0
12,http://www.wikidata.org/entity/Q45562,Gustav Pick,P/Pick_Gustav_1832_1921,50440.0
13,http://www.wikidata.org/entity/Q45580,Franz Stelzhamer,S/Stelzhamer_Franz-Xav_1802_1874,31553.0
14,http://www.wikidata.org/entity/Q72116,Joseph Aschbach,A/Aschbach_Josef_1801_1882,90150.0
15,http://www.wikidata.org/entity/Q77242,Theodor Billroth,B/Billroth_Theodor-Christian_1829_1894,88778.0
16,http://www.wikidata.org/entity/Q62934,Irmfried Eberl,E/Eberl_Irmfried_1910_1948,
17,http://www.wikidata.org/entity/Q70917,Carl Grünberg,G/Gruenberg_Karl_1861_1940,80236.0
18,http://www.wikidata.org/entity/Q76586,Karl Kautsky,K/Kautsky_Karl_1854_1938,72706.0
19,http://www.wikidata.org/entity/Q64162,Ludwig von Pastor,P/Pastor-Camperfelden_Ludwig_1854_1928,52244.0
20,http://www.wikidata.org/entity/Q76483,Rainer Maria Rilke,R/Rilke_Rainer-Maria_1875_1926,44792.0
21,http://www.wikidata.org/entity/Q72988,Jacob Rosanes,R/Rosanes_Jakob_1842_1922,44747.0
22,http://www.wikidata.org/entity/Q62046,Franz von Paula Schrank,S/Schrank_Franz-De-Paula_1747_1835,38433.0
23,http://www.wikidata.org/entity/Q74612,Árpád Tamásy von Fogaras,T/Tamasy-Fogaras_Arpad_1861_1939,28322.0
24,http://www.wikidata.org/entity/Q64625,Nikolaus Graf von Üxküll-Gyllenband,U/Uexkuell-Gyllenband_Nikolaus_1877_1944,
25,http://www.wikidata.org/entity/Q79002,Irene Abendroth,A/Abendroth_Irene_1872_1932,92332.0
26,http://www.wikidata.org/entity/Q78807,Theodor Baillet de Latour,B/Baillet-Latour_Theodor_1780_1848,89773.0
27,http://www.wikidata.org/entity/Q94071,Richard Batka,B/Batka_Richard_1868_1922,89321.0
28,http://www.wikidata.org/entity/Q78782,Cesare Battisti,B/Battisti_Cesare_1875_1916,89336.0
29,http://www.wikidata.org/entity/Q78865,Eduard von Bauernfeld,B/Bauernfeld_Eduard_1802_1890,89356.0
30,http://www.wikidata.org/entity/Q78741,Max Wladimir von Beck,B/Beck_Max-Wladimir_1854_1943,88862.0
31,http://www.wikidata.org/entity/Q96341,Friedrich Beckmann,B/Beckmann_Friedrich_1803_1866,89549.0
32,http://www.wikidata.org/entity/Q78617,Richard Belcredi,B/Belcredi_Richard_1823_1902,88968.0
33,http://www.wikidata.org/entity/Q94092,Hans Benndorf,B/Benndorf_Hans_1870_1953,89071.0
34,http://www.wikidata.org/entity/Q85204,Artur Berger,B/Berger_Artur_1892_1981,89115.0
35,http://www.wikidata.org/entity/Q86983,Johann Nepomuk Berger,B/Berger_Johann-Nepomuk_1816_1870,89124.0
36,http://www.wikidata.org/entity/Q87687,Hermann Ignaz Bidermann,B/Biedermann_Hermann-Ignaz_1831_1892,88708.0
37,http://www.wikidata.org/entity/Q78820,Marianne Brandt,B/Brandt_Marianne_1842_1921,87950.0
38,http://www.wikidata.org/entity/Q85219,Friedrich Moritz Brauer,B/Brauer_Friedrich-Moritz_1832_1904,87959.0
39,http://www.wikidata.org/entity/Q85584,Richard Buchta,B/Buchta_Richard_1845_1894,87584.0
40,http://www.wikidata.org/entity/Q79001,Karl Ferdinand von Buol-Schauenstein,B/Buol-Schauenstein_Karl-Ferdinand_1797_1865,87679.0
41,http://www.wikidata.org/entity/Q84876,Franz Chvostek senior,C/Chvostek_Franz_1835_1884,86820.0
42,http://www.wikidata.org/entity/Q78852,Manfred von Clary und Aldringen,C/Clary-Aldringen_Manfred_1852_1928,86838.0
43,http://www.wikidata.org/entity/Q90199,Wenzel Joseph von Colloredo,C/Colloredo-Mels-Wallsee_Wenzel-Joseph_1738_1822,86902.0
44,http://www.wikidata.org/entity/Q85826,Ignaz Czapka,C/Czapka-Winstetten_Ignaz_1791_1881,86420.0
45,http://www.wikidata.org/entity/Q78560,Ottokar Czernin,C/Czernin_Ottokar_1872_1932,86447.0
46,http://www.wikidata.org/entity/Q78781,Viktor Dankl von Krasnik,D/Dankl-Krasnik_Viktor_1854_1941,86609.0
47,http://www.wikidata.org/entity/Q86296,Jakob Degen,D/Degen_Jakob_1756_1848,
48,http://www.wikidata.org/entity/Q97522,Max Devrient,D/Devrient_Max_1857_1929,86228.0
49,http://www.wikidata.org/entity/Q94065,Karl Diener,D/Diener_Carl_1862_1928,86268.0
50,http://www.wikidata.org/entity/Q78914,Alfred von Domaszewski,D/Domaszewski_Alfred_1856_1927,85779.0
51,http://www.wikidata.org/entity/Q86525,Helene von Druskowitz,D/Druskowitz_Helene_1856_1918,85979.0
52,http://www.wikidata.org/entity/Q92301,Eduard Duller,D/Duller_Eduard_1809_1853,86026.0
53,http://www.wikidata.org/entity/Q85144,Albert Ehrhard,E/Ehrhard_Albert-Josef-Maria_1862_1940,84980.0
54,http://www.wikidata.org/entity/Q84774,Gustav von Escherich,E/Escherich_Gustav_1849_1935,84936.0
55,http://www.wikidata.org/entity/Q87887,Bernhard von Eskeles,E/Eskeles_Bernhard_1753_1839,
56,http://www.wikidata.org/entity/Q84548,Siegmund Exner-Ewarten,E/Exner-Ewarten_Siegmund_1846_1926,
57,http://www.wikidata.org/entity/Q90215,Joseph Feßler,F/Fessler_Josef_1813_1872,84125.0
58,http://www.wikidata.org/entity/Q87173,Heinrich Friedjung,F/Friedjung_Heinrich_1851_1920,82845.0
59,http://www.wikidata.org/entity/Q88737,Emanuel von Friedrichsthal,F/Friedrichsthal_Emanuel_1809_1842,82897.0
60,http://www.wikidata.org/entity/Q84994,Theodor von Frimmel,F/Frimmel-Traisenau_Theodor_1853_1928,82941.0
61,http://www.wikidata.org/entity/Q78606,Robert Fuchs,F/Fuchs_Robert_1847_1927,92171.0
62,http://www.wikidata.org/entity/Q90019,Otto von Fürth,F/Fuerth_Otto_1867_1938,82418.0
63,http://www.wikidata.org/entity/Q87737,Leopold Gegenbauer,G/Gegenbauer_Leopold_1849_1903,82247.0
64,http://www.wikidata.org/entity/Q89736,Hubert Gessner,G/Gessner_Hubert_1871_1943,81790.0
65,http://www.wikidata.org/entity/Q84612,Wladimir Giesl von Gieslingen,G/Giesl-Gieslingen_Wladimir_1860_1936,81873.0
66,http://www.wikidata.org/entity/Q85526,Julius Wilhelm Gintl,G/Gintl_Wilhelm-Julius_1804_1883,
67,http://www.wikidata.org/entity/Q94672,Julius Anton Glaser,G/Glaser_Julius_1831_1885,82006.0
68,http://www.wikidata.org/entity/Q78504,Ernst Gombrich,G/Gombrich_Ernst-Hans_1909_2001,
69,http://www.wikidata.org/entity/Q89648,Max von Gomperz,G/Gomperz_Max_1822_1913,81666.0
70,http://www.wikidata.org/entity/Q89400,Spiridon Gopčević,G/Gopcevic_Spiridon_1855_1909,81684.0
71,http://www.wikidata.org/entity/Q89724,Ernst Gotthilf,G/Gotthilf-Miskolczy_Ernst_1865_,81017.0
72,http://www.wikidata.org/entity/Q85237,Kasimir Graff,G/Graff_Kasimir-Romuald_1878_1950,81130.0
73,http://www.wikidata.org/entity/Q87953,Bruno Granichstaedten,G/Granichstaedten_Bruno_1879_1944,
74,http://www.wikidata.org/entity/Q88353,Karl Ludwig von Grünne,G/Gruenne_Karl_1808_1884,80277.0
75,http://www.wikidata.org/entity/Q84832,Michael Haberlandt,H/Haberlandt_Michael_1860_1940,80073.0
76,http://www.wikidata.org/entity/Q84552,Hans Hahn,H/Hahn_Hans_1879_1934,79644.0
77,http://www.wikidata.org/entity/Q89546,Joseph von Hammer-Purgstall,H/Hammer-Purgstall_Joseph_1774_1856,79118.0
78,http://www.wikidata.org/entity/Q84996,Karl Heider,H/Heider_Karl_1856_1935,78553.0
79,http://www.wikidata.org/entity/Q86345,Johann Florian Heller,H/Heller_Johann-Florian_1813_1871,78095.0
80,http://www.wikidata.org/entity/Q94302,Emanuel Herrmann,H/Herrmann_Emanuel_1839_1902,77786.0
81,http://www.wikidata.org/entity/Q79034,Ernst von Hesse-Wartegg,H/Hesse-Wartegg_Ernst_1854_1918,77929.0
82,http://www.wikidata.org/entity/Q88925,Carl von Hock,H/Hock_Carl_1808_1869,77052.0
83,http://www.wikidata.org/entity/Q84689,Rudolf Hoernes,H/Hoernes_Rudolf_1850_1912,77282.0
84,http://www.wikidata.org/entity/Q84932,Guido Holzknecht,H/Holzknecht_Guido_1872_1931,76343.0
85,http://www.wikidata.org/entity/Q78684,Josef Hyrtl,H/Hyrtl_Josef_1810_1894,75690.0
86,http://www.wikidata.org/entity/Q90108,Sepp Innerkofler,I/Innerkofler_Sepp_1865_1915,75118.0
87,http://www.wikidata.org/entity/Q78990,Joseph Franz von Jacquin,J/Jacquin_Joseph-Franz_1766_1839,75320.0
88,http://www.wikidata.org/entity/Q87177,Friedrich Jäger von Jaxtthal,J/Jaeger-Jaxthal_Friedrich_1784_1871,75334.0
89,http://www.wikidata.org/entity/Q87026,Anton von Jaksch,J/Jaksch-Wartenhorst_Anton_1810_1887,75473.0
90,http://www.wikidata.org/entity/Q88044,Oskar Jellinek,J/Jellinek_Oskar_1886_1949,74451.0
91,http://www.wikidata.org/entity/Q95203,Jan Pětr Jordan,J/Jordan_Jan-Petr_1818_1891,74033.0
92,http://www.wikidata.org/entity/Q78473,Ernst Kaltenbrunner,K/Kaltenbrunner_Ernst_1903_1946,73387.0
93,http://www.wikidata.org/entity/Q88839,Berta Karlik,K/Karlik_Berta-Emilie_1904_1990,73021.0
94,http://www.wikidata.org/entity/Q87425,Friedrich Katzer,K/Katzer_Friedrich_1861_1925,72609.0
95,http://www.wikidata.org/entity/Q78746,Anton Kerner von Marilaun,K/Kerner-Marilaun_Anton_1831_1898,72274.0
96,http://www.wikidata.org/entity/Q78544,Hermann Kövess von Kövesshaza,K/Koevess-Koevesshaza_Hermann_1854_1924,69577.0
97,http://www.wikidata.org/entity/Q87049,Theodor Kohn,K/Kohn_Theodor_1845_1915,69743.0
98,http://www.wikidata.org/entity/Q84585,Carl Koller,K/Koller_Karl_1857_1944,69248.0
99,http://www.wikidata.org/entity/Q86937,Rudolf Kraus,K/Kraus_Rudolf_1868_1932,67206.0
100,http://www.wikidata.org/entity/Q165756,Simon Hollósy,H/Hollosy_Simon_1857_1918,76247.0
101,http://www.wikidata.org/entity/Q176445,Alois Klar,K/Klar_Alois_1763_1833,71613.0
102,http://www.wikidata.org/entity/Q178230,Johann Rufinatscha,R/Rufinatscha_Johann_1812_1893,44036.0
103,http://www.wikidata.org/entity/Q163993,Josef Slavík,S/Slavik_Josef_1806_1833,33547.0
104,http://www.wikidata.org/entity/Q168542,Adalbert Stifter,S/Stifter_Adalbert_1805_1868,30539.0
105,http://www.wikidata.org/entity/Q194856,Julius Weber,W/Weber_Julius_1880_1942,
106,http://www.wikidata.org/entity/Q213765,Ignaz Aurelius Feßler,F/Fessler_Ignaz-Aurel_1756_1839,84116.0
107,http://www.wikidata.org/entity/Q216135,Hans Habe,H/Habe_Hans_1911_1977,80106.0
108,http://www.wikidata.org/entity/Q214375,Richard Hönigswald,H/Hoenigswald_Richard_1875_1947,77218.0
109,http://www.wikidata.org/entity/Q206133,Hugo Schuchardt,S/Schuchardt_Hugo_1842_1927,37715.0
110,http://www.wikidata.org/entity/Q210285,David Schwarz,S/Schwarz_David_1850_1897,36715.0
111,http://www.wikidata.org/entity/Q216058,Joseph Tichatschek,T/Tichatschek_Joseph-Alois_1807_1886,26869.0
112,http://www.wikidata.org/entity/Q202106,Mutius von Tommasini,T/Tommasini_Muzio-Giuseppe_1794_1879,91923.0
113,http://www.wikidata.org/entity/Q215869,Ralph Erwin,V/Vogl_Erwin_1896_1943,
114,http://www.wikidata.org/entity/Q225315,Viktor Urbantschitsch,U/Urbantschitsch_Viktor_1847_1921,
115,http://www.wikidata.org/entity/Q233074,Mary Vetsera,V/Vetsera_Maria-Alexandrine_1871_1889,
116,http://www.wikidata.org/entity/Q252311,Farkas Bolyai,B/Bolyai-Bolya_Wolfgang_1775_1856,87764.0
117,http://www.wikidata.org/entity/Q262637,Samo Chalupka,C/Chalupka_Samo_1812_1883,87340.0
118,http://www.wikidata.org/entity/Q246354,Ágost Greguss,G/Greguss_Agost_1825_1882,81287.0
119,http://www.wikidata.org/entity/Q266415,Isidor Kaufmann,K/Kaufmann_Isidor_1853_1921,72668.0
120,http://www.wikidata.org/entity/Q246759,Josef Kupka,K/Kupka_Josef_1862_1941,66330.0
121,http://www.wikidata.org/entity/Q264381,Jovan Pačić,P/Pacic_Jovan_1771_1849,53205.0
122,http://www.wikidata.org/entity/Q282047,Károly Keleti,K/Keleti_Karoly_1833_1892,72098.0
123,http://www.wikidata.org/entity/Q293171,Maria Theresia von Paradis,P/Paradis_Maria-Theresia_1759_1824,52101.0
124,http://www.wikidata.org/entity/Q279397,István Széchenyi,S/Szechenyi-Sarvar-Felsoevidek_Istvan_1791_1860,28586.0
125,http://www.wikidata.org/entity/Q281577,Christian Ulrich,U/Ulrich_Christian_1836_1909,
126,http://www.wikidata.org/entity/Q275513,Olga Wisinger-Florian,W/Wisinger-Florian_Olga_1844_1926,
127,http://www.wikidata.org/entity/Q304321,Clementina Katona,A/Abranyi-Laszlofalva-Mikefoeld_Clementin_1856_1932,
128,http://www.wikidata.org/entity/Q317919,Ludwig Kasper,K/Kasper_Ludwig_1893_1945,72459.0
129,http://www.wikidata.org/entity/Q294065,Ödön Lechner,L/Lechner_Oedoen_1845_1914,64454.0
130,http://www.wikidata.org/entity/Q317016,Johann II.,L/Liechtenstein_Johann-II_1840_1929,
131,http://www.wikidata.org/entity/Q302590,Joseph Johann von Littrow,L/Littrow_Joseph-Johann_1781_1840,62067.0
132,http://www.wikidata.org/entity/Q312985,Richard Réti,R/Reti_Richard_1889_1929,45598.0
133,http://www.wikidata.org/entity/Q314005,Christian Ruben,R/Ruben_Christian_1805_1875,43896.0
134,http://www.wikidata.org/entity/Q310431,Franz von Suppè,S_43/Suppe_Franz_1819_1895,28734.0
135,http://www.wikidata.org/entity/Q312700,Josef Suk,S/Suk_Josef_1874_1935,29413.0
136,http://www.wikidata.org/entity/Q310431,Franz von Suppè,S/Suppe_Franz_1819_1895,28734.0
137,http://www.wikidata.org/entity/Q318907,Leopold Leonhard von Thun und Hohenstein,T/Thun-Hohenstein_Leopold-Leonhard_1748_1826,26815.0
138,http://www.wikidata.org/entity/Q324318,Joseph von Führich,F/Fuehrich_Josef_1800_1876,82389.0
139,http://www.wikidata.org/entity/Q328710,Heinrich Grünfeld,G/Gruenfeld_Heinrich_1855_1931,80258.0
140,http://www.wikidata.org/entity/Q320612,Imre Henszlman,H/Henszlmann_Emerich_1813_1888,78287.0
141,http://www.wikidata.org/entity/Q331047,Adolf Hirémy-Hirschl,H/Hiremy-Hirschl_Adolf_1860_1933,77563.0
142,http://www.wikidata.org/entity/Q330244,Alfred Jaell,J/Jaell_Alfred_1832_1882,75399.0
143,http://www.wikidata.org/entity/Q337528,Wilhelm Jahn,J/Jahn_Wilhelm_1835_1900,75446.0
144,http://www.wikidata.org/entity/Q319764,Joseph von Österreich,J/Joseph_Anton-Johann_1776_1847,74084.0
145,http://www.wikidata.org/entity/Q326446,Antonín Klášterský,K/Klastersky_Antonin_1866_1938,71626.0
146,http://www.wikidata.org/entity/Q344599,Antun Mahnić,M/Mahnic_Anton_1850_1920,60751.0
147,http://www.wikidata.org/entity/Q338862,Joseph von Spaun,S/Spaun_Josef_1788_1865,32933.0
148,http://www.wikidata.org/entity/Q329068,Jan Stefani,S/Stefani_Jan_1746_1829,31724.0
149,http://www.wikidata.org/entity/Q344027,Václav Thám,T/Tham_Vaclav_1765_1816,27323.0
150,http://www.wikidata.org/entity/Q336493,István Tisza,T/Tisza-Borosjenoe-Szeged_Istvan_1861_1918,27012.0
151,http://www.wikidata.org/entity/Q333972,Ignaz Trebitsch-Lincoln,T/Trebitsch-Lincoln_Ignatius-Timothy_1879_1943,91381.0
152,http://www.wikidata.org/entity/Q350993,Gustav Bickell,B/Bickell_Gustav-Wilhelm-Hugo_1838_1906,
153,http://www.wikidata.org/entity/Q348863,Adam Brenner,B/Brenner_Adam_1800_1891,88077.0
154,http://www.wikidata.org/entity/Q371286,András Dugonics,D/Dugonics_Andreas_1740_1818,86011.0
155,http://www.wikidata.org/entity/Q347305,Adalbert Dungel,D/Dungel_Adalbert_1842_1923,86057.0
156,http://www.wikidata.org/entity/Q372551,János Fogarasi,F/Fogarasi_Johann_1801_1878,83139.0
157,http://www.wikidata.org/entity/Q365071,Adolfo Fumagalli,F/Fumagalli_Adolfo_1828_1865,82436.0
158,http://www.wikidata.org/entity/Q361938,Adolf Grohmann,G/Grohmann_Adolf_1825_1895,80699.0
159,http://www.wikidata.org/entity/Q364774,Adolf von Guttenberg,G/Guttenberg_Adolf_1839_1917,79910.0
160,http://www.wikidata.org/entity/Q347384,Adalbert Gyrowetz,G/Gyrowetz_Adalbert_1763_1850,79941.0
161,http://www.wikidata.org/entity/Q347096,Ferdinand Kauer,K/Kauer_Ferdinand_1751_1831,72646.0
162,http://www.wikidata.org/entity/Q362952,Adolf Klein,K/Klein_Adolf_1847_1931,71088.0
163,http://www.wikidata.org/entity/Q371740,Hans Koessler,K/Koessler_Hans_1853_1926,69526.0
164,http://www.wikidata.org/entity/Q363097,Adolf Lang,L/Lang_Adolf_1823_1897,65173.0
165,http://www.wikidata.org/entity/Q363462,Adolf Müller junior,M/Mueller_Adolf_1839_1901,
166,http://www.wikidata.org/entity/Q367661,Paul Neumann,N/Neumann-Heilwart_Paul_1875_1932,54934.0
167,http://www.wikidata.org/entity/Q363505,Adolf Odkolek von Újezd,O/Odkolek-Ujezd_Adolf_1854_1917,53936.0
168,http://www.wikidata.org/entity/Q371556,Władysław Sadłowski,S/Sadlowski_Wladyslaw_1869_1940,43005.0
169,http://www.wikidata.org/entity/Q364102,Adolf Schimon,S/Schimon_Adolf_1820_1887,41773.0
170,http://www.wikidata.org/entity/Q347678,Adalbert Seligmann,S/Seligmann_Adalbert-Franz_1862_1945,35570.0
171,http://www.wikidata.org/entity/Q347735,Adalbert Wolf,W/Wolf_Adalbert_1879_1950,
172,http://www.wikidata.org/entity/Q380506,Aleksander Fredro,F/Fredro_Aleksander_1793_1876,83452.0
173,http://www.wikidata.org/entity/Q374674,Ignaz Goldziher,G/Goldzieher_Ignaz_1850_1921,81611.0
174,http://www.wikidata.org/entity/Q417976,Akiba Eisenberg,E/Eisenberg_Akiba_1908_1983,
175,http://www.wikidata.org/entity/Q422668,Carl Roesner,R/Roesner_Karl_1804_1869,44452.0
176,http://www.wikidata.org/entity/Q434601,Franz Schmidt,S/Schmid_Franz_1874_1939,40643.0
177,http://www.wikidata.org/entity/Q460211,Albert von Apponyi,A/Apponyi_Albert_1846_1933,90005.0
178,http://www.wikidata.org/entity/Q448912,Alexander von Bach,B/Bach_Alexander_1813_1893,89711.0
179,http://www.wikidata.org/entity/Q451836,Leopoldine Blahetka,B/Blahetka_Marie-Leopoldine_1810_1885,88219.0
180,http://www.wikidata.org/entity/Q446711,Friedrich von Österreich-Teschen,F/Friedrich_Maria-Albrecht_1856_1936,82908.0
181,http://www.wikidata.org/entity/Q448799,Magdalena Dobromila Rettigová,R/Rettigova_Magdalena-Dobromila_1785_1845,45616.0
182,http://www.wikidata.org/entity/Q453087,Amalie Schütz,S/Schuetz_Amalie_1803_1852,37138.0
183,http://www.wikidata.org/entity/Q455008,Alfred I. zu Windisch-Graetz,W/Windisch-Graetz_Alfred-Candidus-Ferdinand_1787_1862,
184,http://www.wikidata.org/entity/Q470673,Anton Dominik von Fernkorn,F/Fernkorn_Anton-Dominik_1813_1878,93101.0
185,http://www.wikidata.org/entity/Q471288,Amilcare Paulucci,P/Paulucci-Roncole_Hamilcar_1773_1845,52427.0
186,http://www.wikidata.org/entity/Q501379,Andreas von Baumgartner,B/Baumgartner_Andreas_1793_1865,89453.0
187,http://www.wikidata.org/entity/Q514358,Giacomo Bresadola,B/Bresadola_Giacomo_1847_1929,88086.0
188,http://www.wikidata.org/entity/Q513185,Franz Xaver Gruber,G/Gruber_Franz-Xaver_1787_1863,80875.0
189,http://www.wikidata.org/entity/Q502867,Andrej Karlin,K/Karlin_Andrej_1857_1933,73038.0
190,http://www.wikidata.org/entity/Q515684,Anton Korošec,K/Korosec_Anton_1872_1940,68311.0
191,http://www.wikidata.org/entity/Q499274,Andreas Leykam,L/Leykam_Andreas_1752_1826,63418.0
192,http://www.wikidata.org/entity/Q521014,Elek Benedek,B/Benedek-Kisbaczon_Elek_1859_1929,92444.0
193,http://www.wikidata.org/entity/Q528612,Auguste von Littrow,L/Littrow_Auguste_1819_1890,62779.0
194,http://www.wikidata.org/entity/Q542959,Heinrich Maier,M/Maier_Heinrich_1908_1945,60314.0
195,http://www.wikidata.org/entity/Q527997,Franz Nopcsa,N/Nopcsa-Felsoeszilvas_Franz_1877_1933,54083.0
196,http://www.wikidata.org/entity/Q523418,Maria Scholz,S/Scholz_Marie_1861_1944,38930.0
197,http://www.wikidata.org/entity/Q546355,Antonie Adamberger,A/Adamberger_Antonie_1790_1867,90819.0
198,http://www.wikidata.org/entity/Q554665,Aristides Brezina,B/Brezina_Aristides_1848_1909,
199,http://www.wikidata.org/entity/Q555907,Ludwig August Frankl von Hochwart,F/Frankl-Hochwart_Ludwig-August_1810_1894,83327.0
200,http://www.wikidata.org/entity/Q87788,Friedrich Kriehuber,K/Kriehuber_Friedrich_1834_1871,66861.0
201,http://www.wikidata.org/entity/Q87022,Karl Friedrich von Kübeck,K/Kuebeck-Kuebau_Karl-Friedrich_1780_1855,66628.0
202,http://www.wikidata.org/entity/Q86419,Ignaz Kuranda,K/Kuranda_Ignaz_1811_1884,66354.0
203,http://www.wikidata.org/entity/Q85815,Adolf Kurrein,K/Kurrein_Adolf_1846_1919,66366.0
204,http://www.wikidata.org/entity/Q94538,Simon von Lämel,L/Laemel_Simon_1766_1845,65305.0
205,http://www.wikidata.org/entity/Q79040,Oskar Lenz,L/Lenz_Oskar_1848_1925,63692.0
206,http://www.wikidata.org/entity/Q88725,Lina Loos,L/Loos_Lina_1884_1950,61908.0
207,http://www.wikidata.org/entity/Q96225,Siegmund Mayer,M/Maier_Siegmund_1842_1910,60521.0
208,http://www.wikidata.org/entity/Q78108,Julius Meier-Graefe,M/Maier-Graefe_Julius_1867_1935,60774.0
209,http://www.wikidata.org/entity/Q86460,Johann Malfatti,M/Malfatti-Monteregio_Johann_1775_1859,59971.0
210,http://www.wikidata.org/entity/Q79128,Robert Martinek,M/Martinek_Robert_1889_1944,59347.0
211,http://www.wikidata.org/entity/Q88953,Emil Marriot,M/Mataja_Emilie_1855_1938,58836.0
212,http://www.wikidata.org/entity/Q84177,Carl Menger,M/Menger_Karl_1840_1921,58257.0
213,http://www.wikidata.org/entity/Q86333,Anna Milder-Hauptmann,M/Milder-Hauptmann_Anna-Pauline_1785_1838,57516.0
214,http://www.wikidata.org/entity/Q88197,Rudolf Much,M/Much_Rudolf_1862_1936,56438.0
215,http://www.wikidata.org/entity/Q78836,Alois Negrelli von Moldelbe,N/Negrelli-Moldelbe_Alois_1799_1858,55354.0
216,http://www.wikidata.org/entity/Q78938,Wilhelmine Neruda,N/Neruda_Wilma_1839_1911,54748.0
217,http://www.wikidata.org/entity/Q87937,Gustav Niessl von Mayendorf,N/Niessl-Mayendorf_Gustav_1839_1919,54575.0
218,http://www.wikidata.org/entity/Q93931,Guido Novak von Arienti,N/Novak-Arienti_Guido_1859_1928,54202.0
219,http://www.wikidata.org/entity/Q86629,Samuel Oppenheim,O/Oppenheim_Samuel_1857_1928,53484.0
220,http://www.wikidata.org/entity/Q85376,Franz Seraph von Orsini-Rosenberg,O/Orsini-Rosenberg_Franz_1761_1832,52896.0
221,http://www.wikidata.org/entity/Q88529,Carl Paal,P/Paal_Karl_1860_1935,53108.0
222,http://www.wikidata.org/entity/Q94361,Otto Pick,P/Pick_Otto_1887_1940,50449.0
223,http://www.wikidata.org/entity/Q79153,Charles Sealsfield,P/Postl_Karl_1793_1864,48511.0
224,http://www.wikidata.org/entity/Q78830,Georg Prochaska,P/Prochaska_Georg_1749_1820,47703.0
225,http://www.wikidata.org/entity/Q87116,Marie Renard,R/Renard_Marie_1863_1939,46188.0
226,http://www.wikidata.org/entity/Q89237,August Emanuel von Reuss,R/Reuss_August-Emanuel_1811_1873,45640.0
227,http://www.wikidata.org/entity/Q89883,Frida Richard,R/Richard_Frieda_1873_1946,45842.0
228,http://www.wikidata.org/entity/Q84530,Edmund Rumpler,R/Rumpler_Edmund_1872_1940,43316.0
229,http://www.wikidata.org/entity/Q88951,Alois Rzach,R/Rzach_Alois_1850_1935,43561.0
230,http://www.wikidata.org/entity/Q88418,Mathilde Sussin,S_43/Sussin_Mathilde_1876_1943,28767.0
231,http://www.wikidata.org/entity/Q87553,Arthur Gundaccar von Suttner,S_43/Suttner_Arthur-Gundaccar_1850_1902,28808.0
232,http://www.wikidata.org/entity/Q90564,Joseph Sablatnig,S/Sablatnig_Josef_1886_1945,43630.0
233,http://www.wikidata.org/entity/Q88286,Anna Sacher,S/Sacher_Anna_1859_1930,43667.0
234,http://www.wikidata.org/entity/Q88262,Hubert Sattler,S/Sattler_Hubert_1844_1928,42770.0
235,http://www.wikidata.org/entity/Q89463,Joseph Schalk,S/Schalk_Josef_1857_1900,42385.0
236,http://www.wikidata.org/entity/Q90090,Karl Schenkl,S/Schenkl_Karl_1827_1900,42061.0
237,http://www.wikidata.org/entity/Q89540,Erwin Schulhoff,S/Schulhoff_Erwin_1894_1942,37319.0
238,http://www.wikidata.org/entity/Q79035,Ernestine Schumann-Heink,S/Schumann-Heink_Ernestine_1861_1936,36858.0
239,http://www.wikidata.org/entity/Q78477,Joseph Schumpeter,S/Schumpeter_Joseph-Alois_1883_1950,36876.0
240,http://www.wikidata.org/entity/Q86031,Anton Maria Schwartz,S/Schwartz_Anton-Maria_1852_1929,
241,http://www.wikidata.org/entity/Q78744,Ernst Seidler von Feuchtenegg,S/Seidler-Feuchtenegg_Ernst_1862_1931,35312.0
242,http://www.wikidata.org/entity/Q87347,Johann Kaspar von Seiller,S/Seiller_Johann-Kaspar_1802_1888,35481.0
243,http://www.wikidata.org/entity/Q78720,Ignaz Seipel,S/Seipel_Ignaz_1876_1932,35494.0
244,http://www.wikidata.org/entity/Q85766,Friedrich Siebenrock,S/Siebenrock_Friedrich_1853_1925,34618.0
