i,item,itemLabel,oeblid,apis_id
14818,http://www.wikidata.org/entity/Q60830207,Antun Švarc,S/Schwarz_Anton_1823_1891,36664.0
14819,http://www.wikidata.org/entity/Q60821996,"Cornel Schwarz, d. Ä.",S/Schwarz_Cornel_1774_1822,36701.0
14820,http://www.wikidata.org/entity/Q60821999,Friederike Schwarz,S/Schwarz_Friederike_1910_1945,36028.0
14821,http://www.wikidata.org/entity/Q60822027,Franz Schwarzer,S/Schwarzer_Franz_1828_1904,36603.0
14822,http://www.wikidata.org/entity/Q60822032,Josef Schwarzinger,S/Schwarzinger_Josef_1848_1910,36623.0
14823,http://www.wikidata.org/entity/Q60822083,Karl Sedlak,S/Sedlak_Karl_1862_1930,35854.0
14824,http://www.wikidata.org/entity/Q60822126,Werner Seidl,S/Seidl_Werner_1914_1941,35403.0
14825,http://www.wikidata.org/entity/Q60822124,Eduard Seidl von Hohenveldern,S/Seidl-Hohenveldern_Eduard_1854_1934,35305.0
14826,http://www.wikidata.org/entity/Q60822130,Karl Seidmann,S/Seidmann_Karl_1882_1949,35412.0
14827,http://www.wikidata.org/entity/Q60822300,Otto von Seybel,S/Seybel_Otto_1845_1927,35209.0
14828,http://www.wikidata.org/entity/Q60822313,Otto Seyller,S/Seyller_Otto_1866_1949,34527.0
14829,http://www.wikidata.org/entity/Q60822324,Franz Frh. von Siber,S/Siber_Franz_1751_1836,34570.0
14830,http://www.wikidata.org/entity/Q60822337,Peter Karl Siedek,S/Siedek_Peter-Karl_1815_1906,34662.0
14831,http://www.wikidata.org/entity/Q60822351,Robert Sieger,S/Sieger_Robert_1840_1904,34708.0
14832,http://www.wikidata.org/entity/Q60822392,Alois Simonides,S/Simonides_Alois_1871_1927,34373.0
14833,http://www.wikidata.org/entity/Q60822394,Franz Ignaz von Singer,S/Singer_Franz-Ignaz_1828_1886,34472.0
14834,http://www.wikidata.org/entity/Q60822406,Emil Skomal,S/Skomal_Emil_1853_1899,34051.0
14835,http://www.wikidata.org/entity/Q60822413,František Skřivan,S/Skrivan_Frantisek_1807_1895,34120.0
14836,http://www.wikidata.org/entity/Q60822414,Josef Skuppa,S/Skuppa_Josef_1823_1914,34159.0
14837,http://www.wikidata.org/entity/Q60822423,Karl Skutetzky,S/Skutetzky_Karl_1886_1935,33454.0
14838,http://www.wikidata.org/entity/Q60822464,Max Smolensky,S/Smolensky_Max_1877_1937,33713.0
14839,http://www.wikidata.org/entity/Q60822472,Franciszek Ksawery Smolka,S/Smolka_Franciszek-Ks_1882_1942,33743.0
14840,http://www.wikidata.org/entity/Q60822482,Cölestin Sobitschka,S/Sobitschka_Coelestin_1839_1900,33097.0
14841,http://www.wikidata.org/entity/Q60822541,Friedrich Franz Joseph Gf. von Spaur,S/Spaur_Friedrich-Franz-Joseph_1756_1821,32945.0
14842,http://www.wikidata.org/entity/Q60822693,Alois Spielmann,S/Spielmann_Alois_1841_1928,93720.0
