oeblxmlname,awLabel,aw_url,instance_of,location,inception,creator,mainsubject,mainsubjectLabel,depicts,depictsLabel,madefrom,height,width
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q40,1901-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q654361,genius,http://www.wikidata.org/entity/Q265559,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q40,1901-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q180237,Typhon,http://www.wikidata.org/entity/Q265559,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q40,1901-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q102059,Gorgon,http://www.wikidata.org/entity/Q265559,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q265129,1902-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q102083,knight,http://www.wikidata.org/entity/Q183670,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q265129,1902-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q7307,kiss,http://www.wikidata.org/entity/Q265559,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q265129,1902-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q102083,knight,http://www.wikidata.org/entity/Q265559,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q265129,1901-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q265559,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q265129,1901-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q654361,genius,http://www.wikidata.org/entity/Q183670,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q265129,1901-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q180237,Typhon,http://www.wikidata.org/entity/Q183670,215,3414
K/Klimt_Gustav_1862_1918,Beethoven Frieze,,,http://www.wikidata.org/entity/Q40,1902-01-01T00:00:00Z,http://www.wikidata.org/entity/Q34661,,,http://www.wikidata.org/entity/Q8441,man,http://www.wikidata.org/entity/Q183670,215,3414
