"select ?z ?y
where
{?z dc:creator ""Gustav Klimt""@de .
?z dc:title ?y.
}
LIMIT 500",205 results,"select ?z ?y 
where
{?z dc:creator ""Klimt, Gustav""@en .
?z dc:title ?y.
}
LIMIT 500",9 results,"select ?z ?y 
where
{?z dc:creator ""Klimt, Gustav"".
?z dc:title ?y.
}
LIMIT 500",8 results,"select ?z ?y 
where
{?z dc:creator ""Gustav Klimt"".
?z dc:title ?y.
}
LIMIT 500",23 results
http://data.europeana.eu/proxy/provider/15508/23532,"""Sitzender Rückenakt (Studie für Die Jungfrau)""@de",,,,,http://data.europeana.eu/proxy/provider/9200369/BibliographicResource_3000148268859,"""Fregio Stoclet (cartoni preparatori)"""
http://data.europeana.eu/proxy/provider/15508/23533,"""Liegender Halbakt, die Arme hinter dem Kopf verschränkt""@de",,,,,http://data.europeana.eu/proxy/provider/9200369/BibliographicResource_3000148268860,"""Vita e Morte"""
http://data.europeana.eu/proxy/provider/15508/23534,"""Stehender Akt in Dreiviertelansicht (Studie für Die Jungfrau)""@de",,,,,http://data.europeana.eu/proxy/provider/9200369/BibliographicResource_3000148268862,"""Le tre età della donna"""
http://data.europeana.eu/proxy/provider/15508/23535,"""Rückenakt mit aufgestütztem Bein, links Wiederholung (Studie für Die Jungfrau)""@de",,,,,http://data.europeana.eu/proxy/provider/9200369/BibliographicResource_3000148268864,"""Il parco"""
http://data.europeana.eu/proxy/provider/15508/23536,"""Sitzende alte Frau (Studie im Zusammenhang mit Die drei Lebensalter)""@de",,,,,http://data.europeana.eu/proxy/provider/9200369/BibliographicResource_3000148271133,"""Il vecchio Burgtheater di Vienna"""
http://data.europeana.eu/proxy/provider/15508/23537,"""Bekleidete Schwangere im Profil, das Gesicht dem Betrachter zugewendet (Studie für Die Hoffnung II)""@de",,,,,http://data.europeana.eu/proxy/provider/9200369/BibliographicResource_3000148271180,"""Giuditta II"""
http://data.europeana.eu/proxy/provider/15508/23538,"""Sitzender Akt mit verdecktem Gesicht (Studie für Die Jungfrau)""@de",,,,,http://data.europeana.eu/proxy/provider/9200369/BibliographicResource_3000148271182,"""Strada nel parco del Castello"""
http://data.europeana.eu/proxy/provider/15508/23539,"""Stehender Akt mit eingebeugtem Arm (Studie für Die Jungfrau)""@de",,,,,http://data.europeana.eu/proxy/provider/9200369/BibliographicResource_3000148271187,"""Ritratto di Adele Bloch-Bauer"""
http://data.europeana.eu/proxy/provider/15508/23540,"""Liegende in Rückenansicht""@de",,,,,http://data.europeana.eu/proxy/provider/9200369/BibliographicResource_3000148273454,"""Il bacio"""
http://data.europeana.eu/proxy/provider/15508/23541,"""Lesende im Profil""@de",,,,,http://data.europeana.eu/proxy/provider/9200369/BibliographicResource_3000148273455,"""Ritratto di Sonja Knips"""
http://data.europeana.eu/proxy/provider/15508/23542,"""Stehende mit herabhängenden Armen  (Studie für das Bildnis Adele Bloch-Bauer II)""@de",,,,,http://data.europeana.eu/proxy/provider/9200369/BibliographicResource_3000148273501,"""Fritza Riedler"""
http://data.europeana.eu/proxy/provider/15508/23543,"""Liegender Akt mit erhobenem Bein""@de",,,,,http://data.europeana.eu/proxy/provider/9200369/BibliographicResource_3000148275813,"""Adamo ed Eva"""
http://data.europeana.eu/proxy/provider/15508/23544,"""Dame im Profil, mit Hut""@de",,,,,http://data.europeana.eu/proxy/provider/9200369/BibliographicResource_3000148275819,"""Danae"""
http://data.europeana.eu/proxy/provider/15508/23545,"""Elternpaar mit Baby (Studie für ""Hoffnung II"")""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23546,"""Sitzender Akt mit verdecktem Gesicht (Studie für Die Braut)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23547,"""Kostümstudie für ""Kirchliche Musik"" im Stadttheater in Fiume""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23643,"""Weiblicher Rückenakt, verzweifelter alter Mann (Studie für die 1. Fassung von Medizin [1901], Deckengemälde für die Wiener Universitätsaula)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23644,"""Fragment eines sich umarmenden Paares, sitzender männlicher Rückenakt (Studie für Philosophie, Deckengemälde für die Wiener Universitätsaula)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23645,"""Stehende ältere Frau im Profil (Studie für ""Die drei Lebensalter"")""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23646,"""Sitzender männlicher Rückenakt; Detailskizze von Ringenden (Studien für ""Medizin"")""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23647,"""Schwebende im Profil mit wallendem Haar (Studie für die Ölskizze für Medizin, Deckengemälde für die Wiener Universitätsaula)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23648,"""Zwei Skelettstudien (Studien für die Übertragungsskizze für Medizin, Deckengemälde für die Wiener Universitätsaula)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23649,"""Mädchenkopf mit langen Haaren im Halbprofil""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23650r,"""Schwebende im Profil (Studie für die Ölskizze für Medizin, Deckengemälde für die Wiener Universitätsaula)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23650v,"""Schwebende im Profil (Studie für die Ölskizze für Medizin, Deckengemälde für die Wiener Universitätsaula)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23651,"""links: Stehender Frauenakt; rechts: Kompositionsstudie (Studien für ""Bewegtes Wasser"")""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23652r,"""Schwebende mit ausgebreiteten Armen (Studie für ""Medizin"")""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23652v,"""Zwei Studien einer Schwebenden (für ""Medizin"")""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23653r,"""Fünf Studien eines schlafenden Kindes (Studien für die 1. Fassung von Medizin [1901], Deckengemälde für die Wiener Universitätsaula)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23653v,"""Zwei ringende Männer (Detailstudien für ""Medizin"")""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23654,"""Männlicher Rückenakt mit ausgestrecktem linken Arm (Studie für Philosophie, Deckengemälde für die Wiener Universitätsaula)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23655,"""Kniender Akt einer alten Frau (Studie für Philosophie, Deckengemälde für die Wiener Universitätsaula)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23656,"""Kleines Kind, von zwei Händen gehalten (Figur- und Detailstudien für ""Die Drei Lebensalter"")""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23657,"""Zwei Ringerpaare (Studie für die Übertragungsskizze für Medizin, Deckengemälde für die Wiener Universitätsaula)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23658,"""Zwei Studien eines getragenen Kindes (Studien für Die drei Lebensalter)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23659,"""Zwei Studien eines Säuglings (Studien für ""Die drei Lebensalter"")""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23660,"""Greisenhaupt, sitzender weiblicher Rückenakt, Detail eines weiblichen Oberkörpers (Studien für die 1. Fassung von Medizin [190]), Deckengemälde für die Wiener Universitätsaula)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23661,"""Männlicher Rückenakt mit ausgebreiteten Armen, Wiederholung von Kopf- und Schulterpartie (Studie für die Ölskizze oder die Übertragungsskizze von Medizin, Deckengemälde für die Wiener Universitätsaula)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23662,"""Zwei ringende Männer (Studie für ""Medizin"")""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23664,"""Schwebende mit ausgestrecktem linken Arm (Studie für die 1. Fassung von Medizin [1901], Deckengemälde für die Wiener Universitätsaula)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23665,"""Schwebende mit erhobenem linken Arm (Studie für ""Medizin"")""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23666,"""Zwei Studien eines getragenen Kindes (Studie für Die drei Lebensalter)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23667,"""Gesicht einer Frau mit an die Wange gelegten Händen (Studie für Jurisprudenz, Deckengemälde für die Wiener Universitätsaula)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/23668,"""Nackte Schwangere, Oberkörper eines Greises (Studien für die 1. Fassung von Medizin [1901], Deckengemälde für die Wiener Universitätsaula)""@de",,,,,,
