"select ?z ?y
where
{?z dc:creator ""Gustav Klimt""@de .
?z dc:title ?y.
}
LIMIT 500",205 results,"select ?z ?y 
where
{?z dc:creator ""Klimt, Gustav""@en .
?z dc:title ?y.
}
LIMIT 500",9 results,"select ?z ?y 
where
{?z dc:creator ""Klimt, Gustav"".
?z dc:title ?y.
}
LIMIT 500",8 results,"select ?z ?y 
where
{?z dc:creator ""Gustav Klimt"".
?z dc:title ?y.
}
LIMIT 500",23 results
http://data.europeana.eu/proxy/provider/15508/35173,"""Stehende von vorne, mit herabhängenden Armen
Studie für das Bildnis Serena Lederer""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/35174,"""Stehende von vorne, mit erhobener linker Hand
Studie für das Bildnis Serena Lederer""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/35288,"""Kompositionsentwurf für Die Reiche der Natur""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/35682,"""Reinzeichnung für Initiale G""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/35683,"""Reinzeichnung eines Männerkopfes im Profil""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/36058,"""Bildnis einer Dame mit Cape und Hut""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/36059,"""Thaleia und Melpomene (Thalia und Melpomene)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/36561,"""Brustbild eines Kindes
Studie für Liebe""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/36633,"""Liegende mit erhobenem rechten Bein""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/36866,"""Liegender Akt""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/37133,"""Fliegender Dreifuß
Illustration für Ver Sacrum""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/37634,"""Sitzende mit aufgestütztem Kinn. Studie für das Bildnis der Friederike Maria Beer""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/38348,"""Studie zum Bildnis Adele Bloch-Bauer (sitzend im ausgebreiteten Gewand)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/39012,"""Liegende
Studie für Wasserschlangen II, 1. Zustand""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/39038,"""Stehende Schwangere im Profil, mit Wiederholung der Figur
Studie für Die Hoffnung I""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/39046,"""Dame mit Federhut""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/39058,"""Zwei stehende Mädchen, mit Blättern in den Händen
Studie für Schubert am Klavier""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/39315,"""Die drei Gorgonen
Zwei Kompositionsskizzen für den Beethovenfries""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/39316,"""Stehender weiblicher Akt
Studie für ""Die drei Gorgonen"", Beethovenfries""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/39317,"""Stehender weiblicher Akt mit erhobenem rechten Bein
Studien für ""Die drei Gorgonen"", Beethovenfries""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/39318,"""Stehende bekleidete Frau im Profil
Studie für ""Die Poesie"", Beethovenfries""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/39319,"""Zwei Kauernde, zwei Sitzende
Studien für ""Die Leiden der schwachen Menschheit"" und ""Nagender Kummer"", Beethovenfries""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/39320,"""Zwei Studien einer liegenden Gewandfigur 
Studien für ""Die Sehnsucht nach Glück"", Beethovenfries""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/39321,"""Kniender Männerakt mit ausgestreckten Armen
Studie für ""Die Leiden der Schwachen Menschheit"", Beethovenfries""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/39322,"""Frau mit gefalteten Händen
Studien für ""Mitleid"", Beethovenfries""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/39323,"""Weibliches Bildnis im Dreiviertelprofil 
Studie für ""Unkeuschheit"", Beethovenfries""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/39324,"""Stehender weiblicher Akt
Studie für ""Die drei Gorgonen"", Beethovenfries""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/39325,"""Sich umarmendes Paar (Studie für ""Diesen Kuss der ganzen Welt"", Beethovenfries)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/39941,"""Tänzerin mit abgewinkeltem Arm (Studie für ""Erwartung"", Stocletfries)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/41027,"""Brustbild einer Frau""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/41831r,"""Studie für das Bildnis Friederike Beer-Monti (stehend, von vorne)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/41831v,"""Studie für das Bildnis Friederike Beer-Monti""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/45489,"""Sitzende in einem gefalteten Kleid""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/46258,"""Vorzeichnung für die Allegorie der Skulptur für den Prachtband für Erzherzog Rainer anlässlich des 25-jährigen Jubiläums der Wiener Kunstgewerbeschule""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DG1994_152,"""I. KUNSTAUSSTELLUNG DER VEREINIGUNG BILDENDER KÜNSTLER ÖSTERREICHS. SECESSION (vor der Zensur)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DG2003_3810,"""VER SACRUM; ILLUSTR. KUNSTZEITSCHRIFT DER VEREINIGUNG BILDENDER KUENSTLER ÖSTERREICHS""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DG2003_534,"""GUSTAV KLIMT; SECESSION; XVIII. AUSSTELLUNG""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DG2003_535,"""I. KUNSTAUSSTELLUNG DER VEREINIGUNG BILDENDER KÜNSTLER ÖSTERREICHS. SECESSION (nach der Zensur)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DG2004_8585,"""I. KUNSTAUSSTELLUNG; SECESSION""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL391,"""Stehendes Liebespaar""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL392,"""Erwachendes, sich rekelndes Mädchen (Studie zu ""Die Jungfrau"")""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL560,"""Sitzender Mann nach links (Studie für ""Schubert am Klavier I"", Musiksalon des Palais Dumba)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL561,"""Intiale D
Illustration für Ver Sacrum""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL562,"""Studie zum Bildnis Fritza Riedler""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL563,"""Studie für die ""Tänzerin"" (""Die Erwartung"", Stoclet-Fries)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL564,"""Studie zum Bildnis Paula Zuckerkandl""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL565,"""Damenbrustbild nach rechts""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL566,"""Bildnis einer Dame mit umgelegtem Pelz
Studie für Die Freundinnen""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL567,"""Stehende mit geneigtem Kopf 
Studie für die 1. Fassung von Medizin (1901), Deckengemälde für die Wiener Universitätsaula""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL568,"""Zwei Aktstudien einer Tänzerin""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL569,"""Stehende im Rüschenkleid
Studie für ein nicht ausgeführtes Bildnis von Magda Mautner-Markhof""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL570,"""Stehende in gemustertem Gewand""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL571,"""Weibliches Brustbild""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL572,"""Sitzende im Lehnstuhl nach links
Studie für das Bildnis Paula Zuckerkandl, 1912""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL573,"""Stehende nach links
Studie für das Bildnis Paula Zuckerkandl, 1912""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL574,"""Stehende mit Umhang
Studie für das Bildnis Paula Zuckerkandl""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL575,"""Stehende von vorne, mit ausgestreckten Fingern der rechten Hand
Studie für das Bildnis Paula Zuckerkandl""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL576,"""Sitzende in Dreiviertelansicht
Studie für das Bildnis Amalie Zuckerkandl""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL577,"""Sitzende mit überschlagenem Bein
Studie für das Bildnis Amalie Zuckerkandl""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL578,"""Stehende in kurzer Jacke
Studie für das Bildnis Maria Beer-Monti""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL589,"""Zwei nach rechts Schreitende""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL593,"""Sitzende Dame (Studie zum Bildnis Hermine Gallia)""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL594,"""Schlafender Halbakt, den linken Arm über den Kopf gelegt""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL595,"""Mutter mit Baby (Studie in Zusammenhang mit dem Baby im Gemälde ""Die Braut"" und mit dem Gemälde ""Baby"")""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL596,"""Brustbild einer Dame im Profil nach links""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL597,"""Im Fauteuil schlummernde junge Frau""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL598,"""Brustbild eines sitzenden Mädchens nach rechts""@de",,,,,,
http://data.europeana.eu/proxy/provider/15508/DL599,"""Sitzendes Mädchen nach rechts (Studie zum Bildnis Mäda Primavesi)""@de",,,,,,
http://data.europeana.eu/proxy/provider/2024911/photography_ProvidedCHO_IMAGNO_brandst_tter_images_GesmbH_00624103,"""Werkbundausstellung""@de",,,,,,
