,creator,contributor,date,cdate,mediumI,mediumII,mediumIII,mediumIV,mediumV,mediumVI,mediumVII,,extent,currentLocation,dcidentifier,providerproxy,providedcho,ml,mf,aggregation,dp,rights,title,coverage,creation,description,relation,subjectI,subjectII,subjectIII,typeI,typeII,typeIII,language,
12346,Gustav Klimt,,,1911/12,"Bleistift
Graphite",,,,,,,,"Blatt: 56,1 x 36,7 cm",,23533,http://data.europeana.eu/proxy/provider/15508/23533,http://data.europeana.eu/item/15508/23533,,,http://data.europeana.eu/aggregation/provider/15508/23533,Albertina,http://www.europeana.eu/rights/rr-f/,"Liegender Halbakt, die Arme hinter dem Kopf verschränkt",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23533,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1911/12,"Bleistift
Graphite",,,,,,,,"Blatt: 56,8 x 36,8 cm",,23534,http://data.europeana.eu/proxy/provider/15508/23534,http://data.europeana.eu/item/15508/23534,,,http://data.europeana.eu/aggregation/provider/15508/23534,Albertina,http://www.europeana.eu/rights/rr-f/,Stehender Akt in Dreiviertelansicht (Studie für Die Jungfrau),,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23534,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1911/12,"Bleistift
Graphite",,,,,,,,"Blatt: 53,6 x 37,4 cm",,23535,http://data.europeana.eu/proxy/provider/15508/23535,http://data.europeana.eu/item/15508/23535,,,http://data.europeana.eu/aggregation/provider/15508/23535,Albertina,http://www.europeana.eu/rights/rr-f/,"Rückenakt mit aufgestütztem Bein, links Wiederholung (Studie für Die Jungfrau)",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23535,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1904,"Schwarze Kreide
Black chalk",,,,,,,,"Blatt: 55 x 36,2 cm",,23536,http://data.europeana.eu/proxy/provider/15508/23536,http://data.europeana.eu/item/15508/23536,,,http://data.europeana.eu/aggregation/provider/15508/23536,Albertina,http://www.europeana.eu/rights/rr-f/,Sitzende alte Frau (Studie im Zusammenhang mit Die drei Lebensalter),,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23536,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1907/08,"Bleistift, roter und blauer Farbstift
Graphite, red and blue pencil",,,,,,,,"Blatt: 55,7 x 36,9 cm",,23537,http://data.europeana.eu/proxy/provider/15508/23537,http://data.europeana.eu/item/15508/23537,,,http://data.europeana.eu/aggregation/provider/15508/23537,Albertina,http://www.europeana.eu/rights/rr-f/,"Bekleidete Schwangere im Profil, das Gesicht dem Betrachter zugewendet (Studie für Die Hoffnung II)",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23537,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1911/12,"Bleistift
Graphite",,,,,,,,"Blatt: 56,4 x 36,3 cm",,23538,http://data.europeana.eu/proxy/provider/15508/23538,http://data.europeana.eu/item/15508/23538,,,http://data.europeana.eu/aggregation/provider/15508/23538,Albertina,http://www.europeana.eu/rights/rr-f/,Sitzender Akt mit verdecktem Gesicht (Studie für Die Jungfrau),,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23538,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1911/12,"Bleistift
Graphite",,,,,,,,"Blatt: 56,5 x 36,8 cm",,23539,http://data.europeana.eu/proxy/provider/15508/23539,http://data.europeana.eu/item/15508/23539,,,http://data.europeana.eu/aggregation/provider/15508/23539,Albertina,http://www.europeana.eu/rights/rr-f/,Stehender Akt mit eingebeugtem Arm (Studie für Die Jungfrau),,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23539,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1916/17,"Bleistift
Graphite",,,,,,,,"Blatt: 34,8 x 56,7 cm",,23540,http://data.europeana.eu/proxy/provider/15508/23540,http://data.europeana.eu/item/15508/23540,,,http://data.europeana.eu/aggregation/provider/15508/23540,Albertina,http://www.europeana.eu/rights/rr-f/,Liegende in Rückenansicht,,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23540,,,,Zeichnung,,,,
12346,Gustav Klimt,,,um 1907/08,"Bleistift
Graphite",,,,,,,,"Blatt: 54,5 x 32,2 cm",,23541,http://data.europeana.eu/proxy/provider/15508/23541,http://data.europeana.eu/item/15508/23541,,,http://data.europeana.eu/aggregation/provider/15508/23541,Albertina,http://www.europeana.eu/rights/rr-f/,Lesende im Profil,,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23541,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1911,"Bleistift
Graphite",,,,,,,,"Blatt: 56,7 x 36,5 cm",,23542,http://data.europeana.eu/proxy/provider/15508/23542,http://data.europeana.eu/item/15508/23542,,,http://data.europeana.eu/aggregation/provider/15508/23542,Albertina,http://www.europeana.eu/rights/rr-f/,Stehende mit herabhängenden Armen  (Studie für das Bildnis Adele Bloch-Bauer II),,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23542,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1912/13,"Bleistift
Graphite",,,,,,,,"Blatt: 37,1 x 56 cm",,23543,http://data.europeana.eu/proxy/provider/15508/23543,http://data.europeana.eu/item/15508/23543,,,http://data.europeana.eu/aggregation/provider/15508/23543,Albertina,http://www.europeana.eu/rights/rr-f/,Liegender Akt mit erhobenem Bein,,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23543,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1904/05,"Bleistift
Graphite",,,,,,,,"Blatt: 47,7 x 32,3 cm",,23544,http://data.europeana.eu/proxy/provider/15508/23544,http://data.europeana.eu/item/15508/23544,,,http://data.europeana.eu/aggregation/provider/15508/23544,Albertina,http://www.europeana.eu/rights/rr-f/,"Dame im Profil, mit Hut",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23544,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1904-05,Roter Farbstift; Signatur: Bleistift,,,,,,,,"37 x 51,2 cm",,23545,http://data.europeana.eu/proxy/provider/15508/23545,http://data.europeana.eu/item/15508/23545,,,http://data.europeana.eu/aggregation/provider/15508/23545,Albertina,http://www.europeana.eu/rights/rr-f/,"Elternpaar mit Baby (Studie für ""Hoffnung II"")",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23545,,,,Zeichnung,,,,
12346,Gustav Klimt,,,um 1917,"Bleistift
Graphite",,,,,,,,"Blatt: 56,6 x 37 cm",,23546,http://data.europeana.eu/proxy/provider/15508/23546,http://data.europeana.eu/item/15508/23546,,,http://data.europeana.eu/aggregation/provider/15508/23546,Albertina,http://www.europeana.eu/rights/rr-f/,Sitzender Akt mit verdecktem Gesicht (Studie für Die Braut),,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23546,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1885,"Bleistift, schwarze Kreide, weiß gehöht",,,,,,,,Passepartoutausschnitt: 40 x 28 cm,,23547,http://data.europeana.eu/proxy/provider/15508/23547,http://data.europeana.eu/item/15508/23547,,,http://data.europeana.eu/aggregation/provider/15508/23547,Albertina,http://www.europeana.eu/rights/rr-f/,"Kostümstudie für ""Kirchliche Musik"" im Stadttheater in Fiume",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23547,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1900-1901,"Bleistift, schwarze Kreide
Graphite, black chalk",,,,,,,,"Blatt: 38,2 x 28,2 cm",,23643,http://data.europeana.eu/proxy/provider/15508/23643,http://data.europeana.eu/item/15508/23643,,,http://data.europeana.eu/aggregation/provider/15508/23643,Albertina,http://www.europeana.eu/rights/rr-f/,"Weiblicher Rückenakt, verzweifelter alter Mann (Studie für die 1. Fassung von Medizin [1901], Deckengemälde für die Wiener Universitätsaula)",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23643,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1898/99,"Schwarze Kreide
Black chalk",,,,,,,,"Blatt: 40,7 x 29 cm",,23644,http://data.europeana.eu/proxy/provider/15508/23644,http://data.europeana.eu/item/15508/23644,,,http://data.europeana.eu/aggregation/provider/15508/23644,Albertina,http://www.europeana.eu/rights/rr-f/,"Fragment eines sich umarmenden Paares, sitzender männlicher Rückenakt (Studie für Philosophie, Deckengemälde für die Wiener Universitätsaula)",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23644,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1904-05,Blauer Farbstift,,,,,,,,"48,8 x 31,5 cm",,23645,http://data.europeana.eu/proxy/provider/15508/23645,http://data.europeana.eu/item/15508/23645,,,http://data.europeana.eu/aggregation/provider/15508/23645,Albertina,http://www.europeana.eu/rights/rr-f/,"Stehende ältere Frau im Profil (Studie für ""Die drei Lebensalter"")",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23645,,,,Zeichnung,,,,
12346,Gustav Klimt,,,um 1900,Schwarze Kreide,,,,,,,,Passepartoutausschnitt: 41 x 29 cm,,23646,http://data.europeana.eu/proxy/provider/15508/23646,http://data.europeana.eu/item/15508/23646,,,http://data.europeana.eu/aggregation/provider/15508/23646,Albertina,http://www.europeana.eu/rights/rr-f/,"Sitzender männlicher Rückenakt; Detailskizze von Ringenden (Studien für ""Medizin"")",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23646,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1897/98,"Schwarze Kreide
Black chalk",,,,,,,,"Blatt: 41,8 x 28,7 cm",,23647,http://data.europeana.eu/proxy/provider/15508/23647,http://data.europeana.eu/item/15508/23647,,,http://data.europeana.eu/aggregation/provider/15508/23647,Albertina,http://www.europeana.eu/rights/rr-f/,"Schwebende im Profil mit wallendem Haar (Studie für die Ölskizze für Medizin, Deckengemälde für die Wiener Universitätsaula)",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23647,,,,Zeichnung,,,,
12346,Gustav Klimt,,,um 1900,"Schwarze Kreide
Black chalk",,,,,,,,Blatt: 42 x 28 cm,,23648,http://data.europeana.eu/proxy/provider/15508/23648,http://data.europeana.eu/item/15508/23648,,,http://data.europeana.eu/aggregation/provider/15508/23648,Albertina,http://www.europeana.eu/rights/rr-f/,"Zwei Skelettstudien (Studien für die Übertragungsskizze für Medizin, Deckengemälde für die Wiener Universitätsaula)",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23648,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1898,Schwarze Kreide,,,,,,,,"44,7 x 31,5 cm",,23649,http://data.europeana.eu/proxy/provider/15508/23649,http://data.europeana.eu/item/15508/23649,,,http://data.europeana.eu/aggregation/provider/15508/23649,Albertina,http://www.europeana.eu/rights/rr-f/,Mädchenkopf mit langen Haaren im Halbprofil,,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23649,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1897/98,"Schwarze Kreide
Black chalk",,,,,,,,"Blatt: 38 x 27,3 cm",,23650r,http://data.europeana.eu/proxy/provider/15508/23650r,http://data.europeana.eu/item/15508/23650r,,,http://data.europeana.eu/aggregation/provider/15508/23650r,Albertina,http://www.europeana.eu/rights/rr-f/,"Schwebende im Profil (Studie für die Ölskizze für Medizin, Deckengemälde für die Wiener Universitätsaula)",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23650r,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1897/98,"Schwarze Kreide
Black chalk",,,,,,,,"Blatt: 38 x 27,3 cm",,23650v,http://data.europeana.eu/proxy/provider/15508/23650v,http://data.europeana.eu/item/15508/23650v,,,http://data.europeana.eu/aggregation/provider/15508/23650v,Albertina,http://www.europeana.eu/rights/rr-f/,"Schwebende im Profil (Studie für die Ölskizze für Medizin, Deckengemälde für die Wiener Universitätsaula)",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23650v,,,,Zeichnung,,,,
12346,Gustav Klimt,,,um 1898,Blaue Kreide,,,,,,,,"44,6 x 31,2 cm",,23651,http://data.europeana.eu/proxy/provider/15508/23651,http://data.europeana.eu/item/15508/23651,,,http://data.europeana.eu/aggregation/provider/15508/23651,Albertina,http://www.europeana.eu/rights/rr-f/,"links: Stehender Frauenakt; rechts: Kompositionsstudie (Studien für ""Bewegtes Wasser"")",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23651,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1897-98,Schwarze Kreide,,,,,,,,"44,5 x 32 cm",,23652r,http://data.europeana.eu/proxy/provider/15508/23652r,http://data.europeana.eu/item/15508/23652r,,,http://data.europeana.eu/aggregation/provider/15508/23652r,Albertina,http://www.europeana.eu/rights/rr-f/,"Schwebende mit ausgebreiteten Armen (Studie für ""Medizin"")",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23652r,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1897-98,Schwarze Kreide,,,,,,,,"44,5 x 32 cm",,23652v,http://data.europeana.eu/proxy/provider/15508/23652v,http://data.europeana.eu/item/15508/23652v,,,http://data.europeana.eu/aggregation/provider/15508/23652v,Albertina,http://www.europeana.eu/rights/rr-f/,"Zwei Studien einer Schwebenden (für ""Medizin"")",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23652v,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1900-1901,"Schwarze Kreide
Black chalk",,,,,,,,"Blatt: 47,8 x 31,5 cm",,23653r,http://data.europeana.eu/proxy/provider/15508/23653r,http://data.europeana.eu/item/15508/23653r,,,http://data.europeana.eu/aggregation/provider/15508/23653r,Albertina,http://www.europeana.eu/rights/rr-f/,"Fünf Studien eines schlafenden Kindes (Studien für die 1. Fassung von Medizin [1901], Deckengemälde für die Wiener Universitätsaula)",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23653r,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1900-01,Schwarze Kreide,,,,,,,,"46,1 x 31,5 cm",,23653v,http://data.europeana.eu/proxy/provider/15508/23653v,http://data.europeana.eu/item/15508/23653v,,,http://data.europeana.eu/aggregation/provider/15508/23653v,Albertina,http://www.europeana.eu/rights/rr-f/,"Zwei ringende Männer (Detailstudien für ""Medizin"")",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23653v,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1898/99,"Schwarze Kreide
Black chalk",,,,,,,,"Blatt: 42,3 x 26,6 cm",,23654,http://data.europeana.eu/proxy/provider/15508/23654,http://data.europeana.eu/item/15508/23654,,,http://data.europeana.eu/aggregation/provider/15508/23654,Albertina,http://www.europeana.eu/rights/rr-f/,"Männlicher Rückenakt mit ausgestrecktem linken Arm (Studie für Philosophie, Deckengemälde für die Wiener Universitätsaula)",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23654,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1898/99,"Schwarze Kreide
Black chalk",,,,,,,,"Blatt: 37 x 26,5 cm",,23655,http://data.europeana.eu/proxy/provider/15508/23655,http://data.europeana.eu/item/15508/23655,,,http://data.europeana.eu/aggregation/provider/15508/23655,Albertina,http://www.europeana.eu/rights/rr-f/,"Kniender Akt einer alten Frau (Studie für Philosophie, Deckengemälde für die Wiener Universitätsaula)",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23655,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1904-05,Schwarze Kreide,,,,,,,,"Passepartoutausschnitt: 39 x 26,3 cm",,23656,http://data.europeana.eu/proxy/provider/15508/23656,http://data.europeana.eu/item/15508/23656,,,http://data.europeana.eu/aggregation/provider/15508/23656,Albertina,http://www.europeana.eu/rights/rr-f/,"Kleines Kind, von zwei Händen gehalten (Figur- und Detailstudien für ""Die Drei Lebensalter"")",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23656,,,,Zeichnung,,,,
12346,Gustav Klimt,,,um 1900,"Schwarze Kreide
Black chalk",,,,,,,,"Blatt: 43 x 29,2 cm",,23657,http://data.europeana.eu/proxy/provider/15508/23657,http://data.europeana.eu/item/15508/23657,,,http://data.europeana.eu/aggregation/provider/15508/23657,Albertina,http://www.europeana.eu/rights/rr-f/,"Zwei Ringerpaare (Studie für die Übertragungsskizze für Medizin, Deckengemälde für die Wiener Universitätsaula)",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23657,,,,Zeichnung,,,,
12346,Gustav Klimt,,,um 1904,"Schwarze Kreide
Black chalk",,,,,,,,"Blatt: 45,4 x 31 cm",,23658,http://data.europeana.eu/proxy/provider/15508/23658,http://data.europeana.eu/item/15508/23658,,,http://data.europeana.eu/aggregation/provider/15508/23658,Albertina,http://www.europeana.eu/rights/rr-f/,Zwei Studien eines getragenen Kindes (Studien für Die drei Lebensalter),,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23658,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1904-05,Schwarze Kreide,,,,,,,,"Passepartoutausschnitt: 39 x 28,5 cm",,23659,http://data.europeana.eu/proxy/provider/15508/23659,http://data.europeana.eu/item/15508/23659,,,http://data.europeana.eu/aggregation/provider/15508/23659,Albertina,http://www.europeana.eu/rights/rr-f/,"Zwei Studien eines Säuglings (Studien für ""Die drei Lebensalter"")",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23659,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1900-1901,"Schwarze Kreide, weiß gehöht
Black chalk, white hightening",,,,,,,,"Blatt: 38,7 x 29 cm",,23660,http://data.europeana.eu/proxy/provider/15508/23660,http://data.europeana.eu/item/15508/23660,,,http://data.europeana.eu/aggregation/provider/15508/23660,Albertina,http://www.europeana.eu/rights/rr-f/,"Greisenhaupt, sitzender weiblicher Rückenakt, Detail eines weiblichen Oberkörpers (Studien für die 1. Fassung von Medizin [190]), Deckengemälde für die Wiener Universitätsaula)",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23660,,,,Zeichnung,,,,
12346,Gustav Klimt,,,ca. 1898,"Schwarze Kreide
Black chalk",,,,,,,,"Blatt: 44,3 x 31,9 cm",,23661,http://data.europeana.eu/proxy/provider/15508/23661,http://data.europeana.eu/item/15508/23661,,,http://data.europeana.eu/aggregation/provider/15508/23661,Albertina,http://www.europeana.eu/rights/rr-f/,"Männlicher Rückenakt mit ausgebreiteten Armen, Wiederholung von Kopf- und Schulterpartie (Studie für die Ölskizze oder die Übertragungsskizze von Medizin, Deckengemälde für die Wiener Universitätsaula)",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23661,,,,Zeichnung,,,,
12346,Gustav Klimt,,,um 1900,Schwarze Kreide,,,,,,,,"Passepartoutausschnitt: 37,9 x 29,5 cm",,23662,http://data.europeana.eu/proxy/provider/15508/23662,http://data.europeana.eu/item/15508/23662,,,http://data.europeana.eu/aggregation/provider/15508/23662,Albertina,http://www.europeana.eu/rights/rr-f/,"Zwei ringende Männer (Studie für ""Medizin"")",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23662,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1900-1901,"Schwarze Kreide
Black chalk",,,,,,,,"Blatt: 41,5 x 27,3 cm",,23664,http://data.europeana.eu/proxy/provider/15508/23664,http://data.europeana.eu/item/15508/23664,,,http://data.europeana.eu/aggregation/provider/15508/23664,Albertina,http://www.europeana.eu/rights/rr-f/,"Schwebende mit ausgestrecktem linken Arm (Studie für die 1. Fassung von Medizin [1901], Deckengemälde für die Wiener Universitätsaula)",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23664,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1897/98,Schwarze Kreide,,,,,,,,"45,7 x 31,9 cm",,23665,http://data.europeana.eu/proxy/provider/15508/23665,http://data.europeana.eu/item/15508/23665,,,http://data.europeana.eu/aggregation/provider/15508/23665,Albertina,http://www.europeana.eu/rights/rr-f/,"Schwebende mit erhobenem linken Arm (Studie für ""Medizin"")",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23665,,,,Zeichnung,,,,
