item,itemLabel,oeblid
http://www.wikidata.org/entity/Q5454,Isabella Albrizzi-Teotochi,A/Albrizzi-Teotochi_Isabella_1763_1836
http://www.wikidata.org/entity/Q15944,Walter Breisky,B/Breisky_Walter_1871_1944
http://www.wikidata.org/entity/Q15803,Simon Jenko,J/Jenko_Simon_1835_1869
http://www.wikidata.org/entity/Q16824,Carl Junker,J/Junker_Karl_1867_1928
http://www.wikidata.org/entity/Q44032,Egon Schiele,S/Schiele_Egon_1890_1918
http://www.wikidata.org/entity/Q43815,Josef Struber,S/Struber_Joseph_1773_1845
http://www.wikidata.org/entity/Q60657,Albert Kasimir von Sachsen-Teschen,A/Albrecht_Kasimir_1738_1822
http://www.wikidata.org/entity/Q44972,Peter Altenberg,E/Englaender_Richard_1859_1919
http://www.wikidata.org/entity/Q44274,Jörg Haider,H/Haider_Joerg_1950_2008
http://www.wikidata.org/entity/Q58586,Edmund Husserl,H/Husserl_Edmund_1859_1938
http://www.wikidata.org/entity/Q44927,Joseph Lanner,L/Lanner_Joseph_1801_1843
http://www.wikidata.org/entity/Q44911,Joseph Maria Olbrich,O/Olbrich_Josef-Maria_1867_1908
http://www.wikidata.org/entity/Q45562,Gustav Pick,P/Pick_Gustav_1832_1921
http://www.wikidata.org/entity/Q45580,Franz Stelzhamer,S/Stelzhamer_Franz-Xav_1802_1874
http://www.wikidata.org/entity/Q72116,Joseph Aschbach,A/Aschbach_Josef_1801_1882
http://www.wikidata.org/entity/Q77242,Theodor Billroth,B/Billroth_Theodor-Christian_1829_1894
http://www.wikidata.org/entity/Q62934,Irmfried Eberl,E/Eberl_Irmfried_1910_1948
http://www.wikidata.org/entity/Q70917,Carl Grünberg,G/Gruenberg_Karl_1861_1940
http://www.wikidata.org/entity/Q76586,Karl Kautsky,K/Kautsky_Karl_1854_1938
http://www.wikidata.org/entity/Q64162,Ludwig von Pastor,P/Pastor-Camperfelden_Ludwig_1854_1928
http://www.wikidata.org/entity/Q76483,Rainer Maria Rilke,R/Rilke_Rainer-Maria_1875_1926
http://www.wikidata.org/entity/Q72988,Jacob Rosanes,R/Rosanes_Jakob_1842_1922
