subject,predicate,object,context
http://www.wikidata.org/entity/Q19756284,http://www.wikidata.org/prop/direct/651,34658886,
http://www.wikidata.org/entity/Q27646103,http://www.wikidata.org/prop/direct/651,10642634,
http://www.wikidata.org/entity/Q747,http://www.wikidata.org/prop/direct/651,04370371,
http://www.wikidata.org/entity/Q747,http://www.wikidata.org/prop/direct/651,06271532,
http://www.wikidata.org/entity/Q5580,http://www.wikidata.org/prop/direct/651,25835391,
http://www.wikidata.org/entity/Q7336,http://www.wikidata.org/prop/direct/651,34414287,
http://www.wikidata.org/entity/Q9554,http://www.wikidata.org/prop/direct/651,10149274,
http://www.wikidata.org/entity/Q23,http://www.wikidata.org/prop/direct/651,04192516,
http://www.wikidata.org/entity/Q14999,http://www.wikidata.org/prop/direct/651,66526130,
http://www.wikidata.org/entity/Q20018,http://www.wikidata.org/prop/direct/651,61402825,
http://www.wikidata.org/entity/Q23971,http://www.wikidata.org/prop/direct/651,00162260,
http://www.wikidata.org/entity/Q24150,http://www.wikidata.org/prop/direct/651,40772009,
http://www.wikidata.org/entity/Q25693,http://www.wikidata.org/prop/direct/651,11887804,
http://www.wikidata.org/entity/Q34969,http://www.wikidata.org/prop/direct/651,16265204,
http://www.wikidata.org/entity/Q37064,http://www.wikidata.org/prop/direct/651,37623969,
http://www.wikidata.org/entity/Q43522,http://www.wikidata.org/prop/direct/651,33666593,
http://www.wikidata.org/entity/Q43522,http://www.wikidata.org/prop/direct/651,38699952,
http://www.wikidata.org/entity/Q43922,http://www.wikidata.org/prop/direct/651,38832943,
http://www.wikidata.org/entity/Q44624,http://www.wikidata.org/prop/direct/651,30770155,
http://www.wikidata.org/entity/Q57073,http://www.wikidata.org/prop/direct/651,39980319,
http://www.wikidata.org/entity/Q60163,http://www.wikidata.org/prop/direct/651,41115446,
http://www.wikidata.org/entity/Q60657,http://www.wikidata.org/prop/direct/651,87892921,
http://www.wikidata.org/entity/Q62110,http://www.wikidata.org/prop/direct/651,53354264,
http://www.wikidata.org/entity/Q62593,http://www.wikidata.org/prop/direct/651,04905552,
http://www.wikidata.org/entity/Q62517,http://www.wikidata.org/prop/direct/651,16825266,
http://www.wikidata.org/entity/Q63500,http://www.wikidata.org/prop/direct/651,75593935,
http://www.wikidata.org/entity/Q201763,http://www.wikidata.org/prop/direct/651,96145129,
http://www.wikidata.org/entity/Q211514,http://www.wikidata.org/prop/direct/651,43166889,
http://www.wikidata.org/entity/Q213284,http://www.wikidata.org/prop/direct/651,49001071,
http://www.wikidata.org/entity/Q216411,http://www.wikidata.org/prop/direct/651,45534416,
http://www.wikidata.org/entity/Q227897,http://www.wikidata.org/prop/direct/651,90090052,
http://www.wikidata.org/entity/Q232423,http://www.wikidata.org/prop/direct/651,11183663,
http://www.wikidata.org/entity/Q236978,http://www.wikidata.org/prop/direct/651,69991338,
http://www.wikidata.org/entity/Q240649,http://www.wikidata.org/prop/direct/651,43655873,
http://www.wikidata.org/entity/Q240649,http://www.wikidata.org/prop/direct/651,75794361,
http://www.wikidata.org/entity/Q246573,http://www.wikidata.org/prop/direct/651,08490307,
http://www.wikidata.org/entity/Q246493,http://www.wikidata.org/prop/direct/651,24201913,
http://www.wikidata.org/entity/Q247320,http://www.wikidata.org/prop/direct/651,13162472,
http://www.wikidata.org/entity/Q252131,http://www.wikidata.org/prop/direct/651,23733506,
http://www.wikidata.org/entity/Q255261,http://www.wikidata.org/prop/direct/651,98744675,
http://www.wikidata.org/entity/Q265243,http://www.wikidata.org/prop/direct/651,03302169,
http://www.wikidata.org/entity/Q266389,http://www.wikidata.org/prop/direct/651,47010496,
http://www.wikidata.org/entity/Q266926,http://www.wikidata.org/prop/direct/651,30754633,
http://www.wikidata.org/entity/Q266926,http://www.wikidata.org/prop/direct/651,33912544,
http://www.wikidata.org/entity/Q266995,http://www.wikidata.org/prop/direct/651,38629221,
http://www.wikidata.org/entity/Q273050,http://www.wikidata.org/prop/direct/651,87816774,
http://www.wikidata.org/entity/Q280671,http://www.wikidata.org/prop/direct/651,04592398,
http://www.wikidata.org/entity/Q284161,http://www.wikidata.org/prop/direct/651,18058173,
http://www.wikidata.org/entity/Q286435,http://www.wikidata.org/prop/direct/651,05703672,
http://www.wikidata.org/entity/Q290045,http://www.wikidata.org/prop/direct/651,36353066,
http://www.wikidata.org/entity/Q310002,http://www.wikidata.org/prop/direct/651,79925150,
http://www.wikidata.org/entity/Q310771,http://www.wikidata.org/prop/direct/651,74657687,
http://www.wikidata.org/entity/Q310837,http://www.wikidata.org/prop/direct/651,77246440,
http://www.wikidata.org/entity/Q311652,http://www.wikidata.org/prop/direct/651,51725668,
http://www.wikidata.org/entity/Q312762,http://www.wikidata.org/prop/direct/651,78891004,
http://www.wikidata.org/entity/Q313701,http://www.wikidata.org/prop/direct/651,37858243,
http://www.wikidata.org/entity/Q314135,http://www.wikidata.org/prop/direct/651,02472237,
http://www.wikidata.org/entity/Q314135,http://www.wikidata.org/prop/direct/651,52038287,
http://www.wikidata.org/entity/Q314275,http://www.wikidata.org/prop/direct/651,25209879,
http://www.wikidata.org/entity/Q317230,http://www.wikidata.org/prop/direct/651,49072349,
http://www.wikidata.org/entity/Q317230,http://www.wikidata.org/prop/direct/651,72597522,
http://www.wikidata.org/entity/Q318457,http://www.wikidata.org/prop/direct/651,20788869,
http://www.wikidata.org/entity/Q318408,http://www.wikidata.org/prop/direct/651,79209893,
http://www.wikidata.org/entity/Q318943,http://www.wikidata.org/prop/direct/651,02571233,
http://www.wikidata.org/entity/Q318943,http://www.wikidata.org/prop/direct/651,07829187,
http://www.wikidata.org/entity/Q322929,http://www.wikidata.org/prop/direct/651,38418461,
http://www.wikidata.org/entity/Q323843,http://www.wikidata.org/prop/direct/651,39994180,
http://www.wikidata.org/entity/Q323971,http://www.wikidata.org/prop/direct/651,65522973,
http://www.wikidata.org/entity/Q325557,http://www.wikidata.org/prop/direct/651,00402336,
http://www.wikidata.org/entity/Q326548,http://www.wikidata.org/prop/direct/651,13875291,
http://www.wikidata.org/entity/Q326721,http://www.wikidata.org/prop/direct/651,69515821,
http://www.wikidata.org/entity/Q327246,http://www.wikidata.org/prop/direct/651,05011171,
http://www.wikidata.org/entity/Q327395,http://www.wikidata.org/prop/direct/651,62541680,
http://www.wikidata.org/entity/Q329117,http://www.wikidata.org/prop/direct/651,46391736,
http://www.wikidata.org/entity/Q329815,http://www.wikidata.org/prop/direct/651,04807736,
http://www.wikidata.org/entity/Q330188,http://www.wikidata.org/prop/direct/651,07683744,
http://www.wikidata.org/entity/Q335171,http://www.wikidata.org/prop/direct/651,01650172,
http://www.wikidata.org/entity/Q352952,http://www.wikidata.org/prop/direct/651,24151862,
http://www.wikidata.org/entity/Q353058,http://www.wikidata.org/prop/direct/651,14293891,
http://www.wikidata.org/entity/Q353058,http://www.wikidata.org/prop/direct/651,47936929,
http://www.wikidata.org/entity/Q353832,http://www.wikidata.org/prop/direct/651,02539462,
http://www.wikidata.org/entity/Q358635,http://www.wikidata.org/prop/direct/651,46326358,
http://www.wikidata.org/entity/Q364153,http://www.wikidata.org/prop/direct/651,06046017,
http://www.wikidata.org/entity/Q364350,http://www.wikidata.org/prop/direct/651,07567667,
http://www.wikidata.org/entity/Q365557,http://www.wikidata.org/prop/direct/651,20407178,
http://www.wikidata.org/entity/Q366862,http://www.wikidata.org/prop/direct/651,37729746,
http://www.wikidata.org/entity/Q367370,http://www.wikidata.org/prop/direct/651,37936059,
http://www.wikidata.org/entity/Q367636,http://www.wikidata.org/prop/direct/651,00366297,
http://www.wikidata.org/entity/Q367495,http://www.wikidata.org/prop/direct/651,19305973,
http://www.wikidata.org/entity/Q367636,http://www.wikidata.org/prop/direct/651,24854823,
http://www.wikidata.org/entity/Q367752,http://www.wikidata.org/prop/direct/651,51947496,
http://www.wikidata.org/entity/Q367869,http://www.wikidata.org/prop/direct/651,27484943,
http://www.wikidata.org/entity/Q368476,http://www.wikidata.org/prop/direct/651,39601706,
http://www.wikidata.org/entity/Q370567,http://www.wikidata.org/prop/direct/651,24379418,
http://www.wikidata.org/entity/Q370567,http://www.wikidata.org/prop/direct/651,25393135,
http://www.wikidata.org/entity/Q370567,http://www.wikidata.org/prop/direct/651,88243810,
http://www.wikidata.org/entity/Q372910,http://www.wikidata.org/prop/direct/651,49759437,
http://www.wikidata.org/entity/Q377071,http://www.wikidata.org/prop/direct/651,63879003,
http://www.wikidata.org/entity/Q380956,http://www.wikidata.org/prop/direct/651,37302763,
http://www.wikidata.org/entity/Q384983,http://www.wikidata.org/prop/direct/651,17653750,
http://www.wikidata.org/entity/Q388711,http://www.wikidata.org/prop/direct/651,03593614,
http://www.wikidata.org/entity/Q388711,http://www.wikidata.org/prop/direct/651,21200339,
http://www.wikidata.org/entity/Q395240,http://www.wikidata.org/prop/direct/651,98333125,
http://www.wikidata.org/entity/Q399131,http://www.wikidata.org/prop/direct/651,62423809,
http://www.wikidata.org/entity/Q405016,http://www.wikidata.org/prop/direct/651,52825220,
http://www.wikidata.org/entity/Q420452,http://www.wikidata.org/prop/direct/651,82917531,
http://www.wikidata.org/entity/Q433458,http://www.wikidata.org/prop/direct/651,06685273,
http://www.wikidata.org/entity/Q435547,http://www.wikidata.org/prop/direct/651,09031038,
http://www.wikidata.org/entity/Q436050,http://www.wikidata.org/prop/direct/651,62469192,
http://www.wikidata.org/entity/Q436463,http://www.wikidata.org/prop/direct/651,17136466,
http://www.wikidata.org/entity/Q436452,http://www.wikidata.org/prop/direct/651,98635228,
http://www.wikidata.org/entity/Q438750,http://www.wikidata.org/prop/direct/651,04605079,
http://www.wikidata.org/entity/Q445590,http://www.wikidata.org/prop/direct/651,92310328,
http://www.wikidata.org/entity/Q446837,http://www.wikidata.org/prop/direct/651,75911507,
http://www.wikidata.org/entity/Q447766,http://www.wikidata.org/prop/direct/651,16892515,
http://www.wikidata.org/entity/Q454198,http://www.wikidata.org/prop/direct/651,23319559,
http://www.wikidata.org/entity/Q455040,http://www.wikidata.org/prop/direct/651,94098228,
http://www.wikidata.org/entity/Q459515,http://www.wikidata.org/prop/direct/651,34874338,
http://www.wikidata.org/entity/Q459665,http://www.wikidata.org/prop/direct/651,30951731,
http://www.wikidata.org/entity/Q463478,http://www.wikidata.org/prop/direct/651,70692657,
http://www.wikidata.org/entity/Q472245,http://www.wikidata.org/prop/direct/651,07379796,
http://www.wikidata.org/entity/Q472276,http://www.wikidata.org/prop/direct/651,10839603,
http://www.wikidata.org/entity/Q472987,http://www.wikidata.org/prop/direct/651,05561071,
http://www.wikidata.org/entity/Q474430,http://www.wikidata.org/prop/direct/651,13547120,
http://www.wikidata.org/entity/Q474934,http://www.wikidata.org/prop/direct/651,32385302,
http://www.wikidata.org/entity/Q487874,http://www.wikidata.org/prop/direct/651,27153055,
